,Luxury Goods
2018-10-07,0.0
2018-10-14,63.0
2018-10-21,0.0
2018-10-28,0.0
2018-11-04,0.0
2018-11-11,0.0
2018-11-18,0.0
2018-11-25,67.0
2018-12-02,0.0
2018-12-09,0.0
2018-12-16,0.0
2018-12-23,0.0
2018-12-30,73.0
2019-01-06,100.0
2019-01-13,0.0
2019-01-20,67.0
2019-01-27,0.0
2019-02-03,0.0
2019-02-10,0.0
2019-02-17,0.0
2019-02-24,0.0
2019-03-03,0.0
2019-03-10,69.0
2019-03-17,0.0
2019-03-24,0.0
2019-03-31,0.0
2019-04-07,64.0
2019-04-14,75.0
2019-04-21,0.0
2019-04-28,0.0
2019-05-05,0.0
2019-05-12,0.0
2019-05-19,0.0
2019-05-26,0.0
2019-06-02,0.0
2019-06-09,0.0
2019-06-16,0.0
2019-06-23,0.0
2019-06-30,55.0
2019-07-07,0.0
2019-07-14,0.0
2019-07-21,0.0
2019-07-28,0.0
2019-08-04,0.0
2019-08-11,0.0
2019-08-18,70.0
2019-08-25,0.0
2019-09-01,0.0
2019-09-08,0.0
2019-09-15,0.0
2019-09-22,61.0
2019-09-29,0.0
2019-10-06,58.0
2019-10-13,0.0
2019-10-20,0.0
2019-10-27,0.0
2019-11-03,0.0
2019-11-10,0.0
2019-11-17,0.0
2019-11-24,50.0
2019-12-01,0.0
2019-12-08,0.0
2019-12-15,0.0
2019-12-22,64.0
2019-12-29,57.0
2020-01-05,0.0
2020-01-12,0.0
2020-01-19,51.00131752305665
2020-01-26,0.0
2020-02-02,0.0
2020-02-09,0.0
2020-02-16,0.0
2020-02-23,62.450592885375485
2020-03-01,65.57312252964425
2020-03-08,0.0
2020-03-15,0.0
2020-03-22,53.083003952569165
2020-03-29,0.0
2020-04-05,0.0
2020-04-12,0.0
2020-04-19,0.0
2020-04-26,0.0
2020-05-03,0.0
2020-05-10,0.0
2020-05-17,0.0
2020-05-24,0.0
2020-05-31,0.0
2020-06-07,0.0
2020-06-14,0.0
2020-06-21,0.0
2020-06-28,0.0
2020-07-05,0.0
2020-07-12,0.0
2020-07-19,0.0
2020-07-26,0.0
2020-08-02,0.0
2020-08-09,0.0
2020-08-16,0.0
2020-08-23,0.0
2020-08-30,0.0
2020-09-06,0.0
2020-09-13,0.0
2020-09-20,0.0
2020-09-27,44.756258234519095
2020-10-04,0.0
2020-10-11,0.0
2020-10-18,0.0
2020-10-25,0.0
2020-11-01,0.0
2020-11-08,0.0
2020-11-15,0.0
2020-11-22,55.16469038208168
2020-11-29,0.0
2020-12-06,0.0
2020-12-13,82.22661396574439
2020-12-20,0.0
2020-12-27,0.0
2021-01-03,0.0
2021-01-10,0.0
2021-01-17,0.0
2021-01-24,0.0
2021-01-31,0.0
2021-02-07,0.0
2021-02-14,64.532279314888
2021-02-21,0.0
2021-02-28,0.0
2021-03-07,0.0
2021-03-14,53.083003952569165
2021-03-21,45.79710144927535
2021-03-28,0.0
2021-04-04,46.83794466403161
2021-04-11,0.0
2021-04-18,0.0
2021-04-25,0.0
2021-05-02,51.00131752305665
2021-05-09,0.0
2021-05-16,0.0
2021-05-23,0.0
2021-05-30,0.0
2021-06-06,0.0
2021-06-13,0.0
2021-06-20,46.83794466403161
2021-06-27,0.0
2021-07-04,0.0
2021-07-11,0.0
2021-07-18,61.40974967061923
2021-07-25,0.0
2021-08-01,0.0
2021-08-08,0.0
2021-08-15,49.96047430830039
2021-08-22,0.0
2021-08-29,0.0
2021-09-05,0.0
2021-09-12,0.0
2021-09-19,0.0
2021-09-26,0.0
2021-10-03,0.0
2021-10-10,52.04216073781291
2021-10-17,0.0
2021-10-24,0.0
2021-10-31,0.0
2021-11-07,0.0
2021-11-14,0.0
2021-11-21,58.287220026350454
2021-11-28,48.919631093544126
2021-12-05,54.12384716732542
2021-12-12,0.0
2021-12-19,0.0
2021-12-26,58.287220026350454
2022-01-02,56.20553359683794
2022-01-09,75.98155467720684
2022-01-16,0.0
2022-01-23,54.12384716732542
2022-01-30,0.0
2022-02-06,69.7364953886693
2022-02-13,47.87878787878787
2022-02-20,38.51119894598155
2022-02-27,0.0
2022-03-06,0.0
2022-03-13,55.16469038208168
2022-03-20,40.59288537549406
2022-03-27,0.0
2022-04-03,0.0
2022-04-10,0.0
2022-04-17,43.71541501976284
2022-04-24,0.0
2022-05-01,39.552042160737805
2022-05-08,54.12384716732542
2022-05-15,49.96047430830039
2022-05-22,0.0
2022-05-29,40.59288537549406
2022-06-05,40.59288537549406
2022-06-12,71.81818181818181
2022-06-19,0.0
2022-06-26,42.67457180500658
2022-07-03,0.0
2022-07-10,0.0
2022-07-17,0.0
2022-07-24,0.0
2022-07-31,0.0
2022-08-07,44.756258234519095
2022-08-14,0.0
2022-08-21,95.75757575757574
2022-08-28,42.67457180500658
2022-09-04,43.71541501976284
2022-09-11,0.0
2022-09-18,40.59288537549406
2022-09-25,0.0
2022-10-02,0.0
2022-10-09,0.0
2022-10-16,0.0
2022-10-23,42.67457180500658
2022-10-30,38.51119894598155
2022-11-06,0.0
2022-11-13,0.0
2022-11-20,46.83794466403161
2022-11-27,0.0
2022-12-04,51.00131752305665
2022-12-11,57.246376811594196
2022-12-18,0.0
2022-12-25,80.14492753623188
2023-01-01,0.0
2023-01-08,43.71541501976284
2023-01-15,38.51119894598155
2023-01-22,41.63372859025032
2023-01-29,47.87878787878787
2023-02-05,0.0
2023-02-12,53.083003952569165
2023-02-19,41.63372859025032
2023-02-26,0.0
2023-03-05,0.0
2023-03-12,42.67457180500658
2023-03-19,48.919631093544126
2023-03-26,47.87878787878787
2023-04-02,82.22661396574439
2023-04-09,77.0223978919631
2023-04-16,39.552042160737805
2023-04-23,70.77733860342555
2023-04-30,63.49143610013174
2023-05-07,45.79710144927535
2023-05-14,66.61396574440052
2023-05-21,43.71541501976284
2023-05-28,52.04216073781291
2023-06-04,0.0
2023-06-11,52.04216073781291
2023-06-18,57.246376811594196
2023-06-25,63.49143610013174
2023-07-02,45.79710144927535
2023-07-09,45.79710144927535
2023-07-16,0.0
2023-07-23,61.40974967061923
2023-07-30,52.04216073781291
2023-08-06,0.0
2023-08-13,55.16469038208168
2023-08-20,42.67457180500658
2023-08-27,60.36890645586297
2023-09-03,0.0
2023-09-10,47.87878787878787
2023-09-17,61.40974967061923
2023-09-24,49.96047430830039
2023-10-01,0.0
2023-10-08,53.083003952569165
2023-10-15,0.0
2023-10-22,64.532279314888
2023-10-29,57.246376811594196
2023-11-05,0.0
2023-11-12,46.83794466403161
2023-11-19,57.246376811594196
2023-11-26,60.36890645586297
2023-12-03,55.16469038208168
2023-12-10,68.69565217391303
2023-12-17,58.287220026350454
2023-12-24,104.08432147562581
2023-12-31,66.61396574440052
2024-01-07,56.6260544521414
2024-01-14,53.39027991201904
2024-01-21,84.13013804318152
2024-01-28,55.00816718208022
2024-02-04,58.24394172220259
2024-02-11,76.0407016928756
2024-02-18,77.65858896293679
2024-02-25,66.33337807250851
2024-03-03,85.7480253132427
2024-03-10,51.77239264195786
2024-03-17,59.861828992263774
2024-03-24,63.09760353238614
2024-03-31,59.861828992263774
2024-04-07,51.77239264195786
2024-04-14,58.24394172220259
2024-04-21,0.0
2024-04-28,63.09760353238614
2024-05-05,50.154505371896676
2024-05-12,71.18703988269205
2024-05-19,48.536618101835494
2024-05-26,72.80492715275324
2024-06-02,0.0
2024-06-09,61.479716262324956
2024-06-16,71.18703988269205
2024-06-23,90.60168712342625
2024-06-30,0.0
2024-07-07,76.0407016928756
2024-07-14,0.0
2024-07-21,64.71549080244732
2024-07-28,87.36591258330388
2024-08-04,85.7480253132427
2024-08-11,88.98379985336507
2024-08-18,76.0407016928756
2024-08-25,0.0
2024-09-01,53.39027991201904
2024-09-08,64.71549080244732
2024-09-15,0.0
2024-09-22,50.154505371896676
2024-09-29,50.154505371896676
2024-10-06,58.24394172220259
2024-10-13,48.536618101835494
2024-10-20,106.78055982403808
2024-10-27,55.00816718208022
2024-11-03,0.0
2024-11-10,61.479716262324956
2024-11-17,46.91873083177431
2024-11-24,97.07323620367099
2024-12-01,0.0
2024-12-08,0.0
2024-12-15,59.861828992263774
2024-12-22,97.07323620367099
2024-12-29,113.2521089042828
2025-01-05,84.13013804318152
2025-01-12,87.36591258330388
2025-01-19,79.27647623299796
2025-01-26,124.5773197947111
2025-02-02,85.7480253132427
2025-02-09,0.0
2025-02-16,79.27647623299796
2025-02-23,0.0
2025-03-02,48.536618101835494
2025-03-09,0.0
2025-03-16,0.0
2025-03-23,66.33337807250851
2025-03-30,61.479716262324956
2025-04-06,84.13013804318152
2025-04-13,161.7887270061183
2025-04-20,85.7480253132427
2025-04-27,66.33337807250851
2025-05-04,88.98379985336507
2025-05-11,59.861828992263774
2025-05-18,74.42281442281443
2025-05-25,0.0
2025-06-01,0.0
2025-06-08,55.00816718208022
2025-06-15,63.09760353238614
2025-06-22,0.0
2025-06-29,0.0
2025-07-06,84.13013804318152
2025-07-13,79.27647623299796
2025-07-20,0.0
2025-07-27,0.0
2025-08-03,61.479716262324956
2025-08-10,79.27647623299796
2025-08-17,0.0
2025-08-24,0.0
2025-08-31,53.39027991201904
2025-09-07,0.0
2025-09-14,69.56915261263087
2025-09-21,74.42281442281443
2025-09-28,0.0
2025-10-05,53.39027991201904
2025-10-12,58.24394172220259
2025-10-19,84.13013804318152
2025-10-26,51.77239264195786
2025-11-02,71.18703988269205
2025-11-09,77.65858896293679
2025-11-16,95.4553489336098
2025-11-23,0.0
2025-11-30,45.30084356171312
2025-12-07,45.30084356171312
2025-12-14,72.80492715275324
2025-12-21,101.92689801385453
2025-12-28,80.89436350305915
2026-01-04,56.6260544521414
