,Hotels & Accommodations
2022-01-30,77.0
2022-02-06,75.0
2022-02-13,78.0
2022-02-20,78.0
2022-02-27,74.0
2022-03-06,75.0
2022-03-13,71.0
2022-03-20,66.0
2022-03-27,58.0
2022-04-03,66.0
2022-04-10,70.0
2022-04-17,68.0
2022-04-24,69.0
2022-05-01,70.0
2022-05-08,61.0
2022-05-15,62.0
2022-05-22,65.0
2022-05-29,67.0
2022-06-05,63.0
2022-06-12,64.0
2022-06-19,62.0
2022-06-26,61.0
2022-07-03,62.0
2022-07-10,62.0
2022-07-17,63.0
2022-07-24,66.0
2022-07-31,71.0
2022-08-07,80.0
2022-08-14,78.0
2022-08-21,83.0
2022-08-28,71.0
2022-09-04,78.0
2022-09-11,73.0
2022-09-18,70.0
2022-09-25,73.0
2022-10-02,72.0
2022-10-09,73.0
2022-10-16,69.0
2022-10-23,74.0
2022-10-30,79.0
2022-11-06,71.0
2022-11-13,69.0
2022-11-20,68.0
2022-11-27,70.0
2022-12-04,71.0
2022-12-11,76.0
2022-12-18,91.0
2022-12-25,81.0
2023-01-01,80.0
2023-01-08,93.0
2023-01-15,75.0
2023-01-22,76.0
2023-01-29,75.0
2023-02-05,75.0
2023-02-12,75.0
2023-02-19,73.0
2023-02-26,77.0
2023-03-05,65.0
2023-03-12,70.0
2023-03-19,74.0
2023-03-26,70.0
2023-04-02,69.0
2023-04-09,74.0
2023-04-16,73.0
2023-04-23,76.0
2023-04-30,74.0
2023-05-07,72.0
2023-05-14,68.0
2023-05-21,72.0
2023-05-28,76.0
2023-06-04,77.0
2023-06-11,73.0
2023-06-18,80.0
2023-06-25,81.0
2023-07-02,77.0
2023-07-09,80.0
2023-07-16,77.0
2023-07-23,84.0
2023-07-30,82.0
2023-08-06,86.0
2023-08-13,86.0
2023-08-20,85.0
2023-08-27,78.0
2023-09-03,72.0
2023-09-10,69.0
2023-09-17,75.0
2023-09-24,82.0
2023-10-01,71.0
2023-10-08,60.0
2023-10-15,74.0
2023-10-22,74.0
2023-10-29,72.0
2023-11-05,69.0
2023-11-12,73.0
2023-11-19,77.0
2023-11-26,76.0
2023-12-03,81.0
2023-12-10,80.0
2023-12-17,91.0
2023-12-24,92.0
2023-12-31,85.0
2024-01-07,84.62479652740097
2024-01-14,80.22870320130222
2024-01-21,83.52577319587628
2024-01-28,86.82284319045036
2024-02-04,87.92186652197503
2024-02-11,86.82284319045036
2024-02-18,90.11991318502442
2024-02-25,79.12967986977753
2024-03-03,79.12967986977753
2024-03-10,79.12967986977753
2024-03-17,79.12967986977753
2024-03-24,86.82284319045036
2024-03-31,78.03065653825284
2024-04-07,81.32772653282692
2024-04-14,86.82284319045036
2024-04-21,83.52577319587628
2024-04-28,86.82284319045036
2024-05-05,84.62479652740097
2024-05-12,89.02088985349972
2024-05-19,79.12967986977753
2024-05-26,78.03065653825284
2024-06-02,78.03065653825284
2024-06-09,85.72381985892567
2024-06-16,85.72381985892567
2024-06-23,75.83260987520347
2024-06-30,80.22870320130222
2024-07-07,86.82284319045036
2024-07-14,89.02088985349972
2024-07-21,82.4267498643516
2024-07-28,81.32772653282692
2024-08-04,81.32772653282692
2024-08-11,103.30819316332067
2024-08-18,95.61502984264786
2024-08-25,90.11991318502442
2024-09-01,85.72381985892567
2024-09-08,85.72381985892567
2024-09-15,102.20916983179599
2024-09-22,73.63456321215409
2024-09-29,74.73358654367878
2024-10-06,76.93163320672816
2024-10-13,74.73358654367878
2024-10-20,80.22870320130222
2024-10-27,76.93163320672816
2024-11-03,71.43651654910472
2024-11-10,79.12967986977753
2024-11-17,74.73358654367878
2024-11-24,81.32772653282692
2024-12-01,82.4267498643516
2024-12-08,86.82284319045036
2024-12-15,100.01112316874661
2024-12-22,109.9023331524688
2024-12-29,94.51600651112317
2025-01-05,95.61502984264786
2025-01-12,90.11991318502442
2025-01-19,78.03065653825284
2025-01-26,76.93163320672816
2025-02-02,78.03065653825284
2025-02-09,74.73358654367878
2025-02-16,73.63456321215409
2025-02-23,73.63456321215409
2025-03-02,79.12967986977753
2025-03-09,74.73358654367878
2025-03-16,76.93163320672816
2025-03-23,75.83260987520347
2025-03-30,81.32772653282692
2025-04-06,89.02088985349972
2025-04-13,94.51600651112317
2025-04-20,79.12967986977753
2025-04-27,83.52577319587628
2025-05-04,82.4267498643516
2025-05-11,74.73358654367878
2025-05-18,89.02088985349972
2025-05-25,75.83260987520347
2025-06-01,80.22870320130222
2025-06-08,72.53553988062941
2025-06-15,71.43651654910472
2025-06-22,74.73358654367878
2025-06-29,76.93163320672816
2025-07-06,83.52577319587628
2025-07-13,79.12967986977753
2025-07-20,86.82284319045036
2025-07-27,86.82284319045036
2025-08-03,92.3179598480738
2025-08-10,94.51600651112317
2025-08-17,92.3179598480738
2025-08-24,84.62479652740097
2025-08-31,84.62479652740097
2025-09-07,72.53553988062941
2025-09-14,71.43651654910472
2025-09-21,74.73358654367878
2025-09-28,79.12967986977753
2025-10-05,72.53553988062941
2025-10-12,76.93163320672816
2025-10-19,74.73358654367878
2025-10-26,73.63456321215409
2025-11-02,80.22870320130222
2025-11-09,78.03065653825284
2025-11-16,86.82284319045036
2025-11-23,74.73358654367878
2025-11-30,64.84237655995659
