,Student loan
2018-10-14,0.0
2018-10-21,38.0
2018-10-28,0.0
2018-11-04,0.0
2018-11-11,0.0
2018-11-18,0.0
2018-11-25,44.0
2018-12-02,39.0
2018-12-09,42.0
2018-12-16,0.0
2018-12-23,0.0
2018-12-30,64.0
2019-01-06,69.0
2019-01-13,100.0
2019-01-20,54.0
2019-01-27,35.0
2019-02-03,54.0
2019-02-10,58.0
2019-02-17,31.0
2019-02-24,35.0
2019-03-03,36.0
2019-03-10,58.0
2019-03-17,50.0
2019-03-24,44.0
2019-03-31,0.0
2019-04-07,0.0
2019-04-14,0.0
2019-04-21,0.0
2019-04-28,38.0
2019-05-05,0.0
2019-05-12,0.0
2019-05-19,0.0
2019-05-26,49.0
2019-06-02,0.0
2019-06-09,0.0
2019-06-16,39.0
2019-06-23,30.0
2019-06-30,0.0
2019-07-07,48.0
2019-07-14,56.0
2019-07-21,45.0
2019-07-28,68.0
2019-08-04,43.0
2019-08-11,0.0
2019-08-18,59.0
2019-08-25,52.0
2019-09-01,60.0
2019-09-08,52.0
2019-09-15,43.0
2019-09-22,46.0
2019-09-29,65.0
2019-10-06,49.0
2019-10-13,42.0
2019-10-20,45.0
2019-10-27,44.0
2019-11-03,51.0
2019-11-10,0.0
2019-11-17,61.0
2019-11-24,33.0
2019-12-01,36.0
2019-12-08,48.0
2019-12-15,34.0
2019-12-22,52.0
2019-12-29,69.0
2020-01-05,80.34183082271147
2020-01-12,64.27346465816917
2020-01-19,59.68250289687138
2020-01-26,48.20509849362688
2020-02-02,45.90961761297798
2020-02-09,66.56894553881807
2020-02-16,50.50057937427578
2020-02-23,110.18308227114716
2020-03-01,68.86442641946698
2020-03-08,43.61413673232909
2020-03-15,45.90961761297798
2020-03-22,29.84125144843569
2020-03-29,0.0
2020-04-05,0.0
2020-04-12,0.0
2020-04-19,0.0
2020-04-26,0.0
2020-05-03,39.02317497103128
2020-05-10,0.0
2020-05-17,52.79606025492468
2020-05-24,0.0
2020-05-31,0.0
2020-06-07,0.0
2020-06-14,0.0
2020-06-21,0.0
2020-06-28,0.0
2020-07-05,0.0
2020-07-12,27.54577056778679
2020-07-19,0.0
2020-07-26,29.84125144843569
2020-08-02,48.20509849362688
2020-08-09,52.79606025492468
2020-08-16,48.20509849362688
2020-08-23,43.61413673232909
2020-08-30,36.727694090382386
2020-09-06,39.02317497103128
2020-09-13,36.727694090382386
2020-09-20,29.84125144843569
2020-09-27,36.727694090382386
2020-10-04,52.79606025492468
2020-10-11,0.0
2020-10-18,29.84125144843569
2020-10-25,29.84125144843569
2020-11-01,0.0
2020-11-08,32.13673232908459
2020-11-15,32.13673232908459
2020-11-22,68.86442641946698
2020-11-29,45.90961761297798
2020-12-06,0.0
2020-12-13,48.20509849362688
2020-12-20,96.41019698725376
2020-12-27,71.15990730011588
2021-01-03,59.68250289687138
2021-01-10,68.86442641946698
2021-01-17,48.20509849362688
2021-01-24,96.41019698725376
2021-01-31,50.50057937427578
2021-02-07,48.20509849362688
2021-02-14,41.318655851680184
2021-02-21,41.318655851680184
2021-02-28,41.318655851680184
2021-03-07,41.318655851680184
2021-03-14,121.66048667439165
2021-03-21,45.90961761297798
2021-03-28,36.727694090382386
2021-04-04,0.0
2021-04-11,0.0
2021-04-18,43.61413673232909
2021-04-25,27.54577056778679
2021-05-02,78.04634994206256
2021-05-09,71.15990730011588
2021-05-16,55.09154113557358
2021-05-23,0.0
2021-05-30,57.387022016222474
2021-06-06,48.20509849362688
2021-06-13,43.61413673232909
2021-06-20,39.02317497103128
2021-06-27,32.13673232908459
2021-07-04,41.318655851680184
2021-07-11,0.0
2021-07-18,34.43221320973349
2021-07-25,34.43221320973349
2021-08-01,0.0
2021-08-08,32.13673232908459
2021-08-15,0.0
2021-08-22,0.0
2021-08-29,0.0
2021-09-05,0.0
2021-09-12,0.0
2021-09-19,0.0
2021-09-26,34.43221320973349
2021-10-03,32.13673232908459
2021-10-10,0.0
2021-10-17,29.84125144843569
2021-10-24,45.90961761297798
2021-10-31,0.0
2021-11-07,48.20509849362688
2021-11-14,0.0
2021-11-21,43.61413673232909
2021-11-28,34.43221320973349
2021-12-05,43.61413673232909
2021-12-12,57.387022016222474
2021-12-19,126.25144843568945
2021-12-26,68.86442641946698
2022-01-02,61.97798377752028
2022-01-09,80.34183082271147
2022-01-16,94.11471610660486
2022-01-23,112.47856315179605
2022-01-30,101.00115874855156
2022-02-06,73.45538818076477
2022-02-13,45.90961761297798
2022-02-20,36.727694090382386
2022-02-27,39.02317497103128
2022-03-06,41.318655851680184
2022-03-13,59.68250289687138
2022-03-20,43.61413673232909
2022-03-27,34.43221320973349
2022-04-03,25.25028968713789
2022-04-10,20.659327925840092
2022-04-17,41.318655851680184
2022-04-24,36.727694090382386
2022-05-01,27.54577056778679
2022-05-08,32.13673232908459
2022-05-15,36.727694090382386
2022-05-22,55.09154113557358
2022-05-29,52.79606025492468
2022-06-05,43.61413673232909
2022-06-12,78.04634994206256
2022-06-19,43.61413673232909
2022-06-26,29.84125144843569
2022-07-03,48.20509849362688
2022-07-10,29.84125144843569
2022-07-17,34.43221320973349
2022-07-24,25.25028968713789
2022-07-31,43.61413673232909
2022-08-07,34.43221320973349
2022-08-14,34.43221320973349
2022-08-21,50.50057937427578
2022-08-28,75.75086906141367
2022-09-04,59.68250289687138
2022-09-11,55.09154113557358
2022-09-18,50.50057937427578
2022-09-25,39.02317497103128
2022-10-02,39.02317497103128
2022-10-09,29.84125144843569
2022-10-16,32.13673232908459
2022-10-23,18.363847045191193
2022-10-30,18.363847045191193
2022-11-06,32.13673232908459
2022-11-13,29.84125144843569
2022-11-20,25.25028968713789
2022-11-27,36.727694090382386
2022-12-04,27.54577056778679
2022-12-11,0.0
2022-12-18,36.727694090382386
2022-12-25,29.84125144843569
2023-01-01,48.20509849362688
2023-01-08,22.95480880648899
2023-01-15,43.61413673232909
2023-01-22,43.61413673232909
2023-01-29,20.659327925840092
2023-02-05,32.13673232908459
2023-02-12,32.13673232908459
2023-02-19,41.318655851680184
2023-02-26,36.727694090382386
2023-03-05,36.727694090382386
2023-03-12,36.727694090382386
2023-03-19,55.09154113557358
2023-03-26,36.727694090382386
2023-04-02,41.318655851680184
2023-04-09,22.95480880648899
2023-04-16,41.318655851680184
2023-04-23,50.50057937427578
2023-04-30,43.61413673232909
2023-05-07,34.43221320973349
2023-05-14,25.25028968713789
2023-05-21,32.13673232908459
2023-05-28,20.659327925840092
2023-06-04,41.318655851680184
2023-06-11,29.84125144843569
2023-06-18,48.20509849362688
2023-06-25,45.90961761297798
2023-07-02,229.5480880648899
2023-07-09,107.88760139049826
2023-07-16,84.93279258400926
2023-07-23,71.15990730011588
2023-07-30,61.97798377752028
2023-08-06,82.63731170336037
2023-08-13,50.50057937427578
2023-08-20,41.318655851680184
2023-08-27,25.25028968713789
2023-09-03,82.63731170336037
2023-09-10,59.68250289687138
2023-09-17,48.20509849362688
2023-09-24,52.79606025492468
2023-10-01,34.43221320973349
2023-10-08,41.318655851680184
2023-10-15,91.81923522595596
2023-10-22,55.09154113557358
2023-10-29,29.84125144843569
2023-11-05,34.43221320973349
2023-11-12,32.13673232908459
2023-11-19,39.02317497103128
2023-11-26,48.20509849362688
2023-12-03,50.50057937427578
2023-12-10,34.43221320973349
2023-12-17,22.95480880648899
2023-12-24,0.0
2023-12-31,41.318655851680184
2024-01-07,48.20509849362687
2024-01-14,64.27346465816916
2024-01-21,41.31865585168018
2024-01-28,36.72769409038238
2024-02-04,20.65932792584009
2024-02-11,39.023174971031274
2024-02-18,36.72769409038238
2024-02-25,36.72769409038238
2024-03-03,39.023174971031274
2024-03-10,0.0
2024-03-17,25.250289687137887
2024-03-24,29.84125144843568
2024-03-31,22.954808806488987
2024-04-07,0.0
2024-04-14,36.72769409038238
2024-04-21,22.954808806488987
2024-04-28,27.545770567786782
2024-05-05,22.954808806488987
2024-05-12,22.954808806488987
2024-05-19,0.0
2024-05-26,84.93279258400925
2024-06-02,133.1378910776361
2024-06-09,91.81923522595595
2024-06-16,66.56894553881806
2024-06-23,75.75086906141365
2024-06-30,55.091541135573564
2024-07-07,78.04634994206255
2024-07-14,27.545770567786782
2024-07-21,45.909617612977975
2024-07-28,61.977983777520265
2024-08-04,57.38702201622247
2024-08-11,57.38702201622247
2024-08-18,45.909617612977975
2024-08-25,41.31865585168018
2024-09-01,110.18308227114713
2024-09-08,156.0926998841251
2024-09-15,71.15990730011586
2024-09-22,59.68250289687136
2024-09-29,59.68250289687136
2024-10-06,57.38702201622247
2024-10-13,52.79606025492467
2024-10-20,91.81923522595595
2024-10-27,64.27346465816916
2024-11-03,48.20509849362687
2024-11-10,39.023174971031274
2024-11-17,48.20509849362687
2024-11-24,48.20509849362687
2024-12-01,41.31865585168018
2024-12-08,32.13673232908458
2024-12-15,32.13673232908458
2024-12-22,39.023174971031274
2024-12-29,55.091541135573564
2025-01-05,101.00115874855155
2025-01-12,64.27346465816916
2025-01-19,146.9107763615295
2025-01-26,66.56894553881806
2025-02-02,105.59212050984934
2025-02-09,94.11471610660485
2025-02-16,75.75086906141365
2025-02-23,45.909617612977975
2025-03-02,59.68250289687136
2025-03-09,36.72769409038238
2025-03-16,52.79606025492467
2025-03-23,48.20509849362687
2025-03-30,25.250289687137887
2025-04-06,0.0
2025-04-13,0.0
2025-04-20,55.091541135573564
2025-04-27,82.63731170336035
2025-05-04,59.68250289687136
2025-05-11,52.79606025492467
2025-05-18,43.61413673232907
2025-05-25,43.61413673232907
2025-06-01,45.909617612977975
2025-06-08,48.20509849362687
2025-06-15,34.43221320973348
2025-06-22,73.45538818076476
2025-06-29,57.38702201622247
2025-07-06,41.31865585168018
2025-07-13,43.61413673232907
2025-07-20,39.023174971031274
2025-07-27,32.13673232908458
2025-08-03,52.79606025492467
2025-08-10,41.31865585168018
2025-08-17,32.13673232908458
2025-08-24,55.091541135573564
2025-08-31,39.023174971031274
2025-09-07,43.61413673232907
2025-09-14,50.50057937427577
2025-09-21,41.31865585168018
2025-09-28,29.84125144843568
2025-10-05,27.545770567786782
2025-10-12,61.977983777520265
2025-10-19,0.0
2025-10-26,101.00115874855155
2025-11-02,172.1610660486674
2025-11-09,107.88760139049823
2025-11-16,142.31981460023172
2025-11-23,126.25144843568943
2025-11-30,82.63731170336035
2025-12-07,66.56894553881806
2025-12-14,87.22827346465814
2025-12-21,48.20509849362687
2025-12-28,61.977983777520265
