,Recession
2018-10-14,0.0
2018-10-21,0.0
2018-10-28,0.0
2018-11-04,0.0
2018-11-11,0.0
2018-11-18,0.0
2018-11-25,0.0
2018-12-02,0.0
2018-12-09,0.0
2018-12-16,0.0
2018-12-23,0.0
2018-12-30,0.0
2019-01-06,0.0
2019-01-13,0.0
2019-01-20,0.0
2019-01-27,0.0
2019-02-03,0.0
2019-02-10,96.0
2019-02-17,0.0
2019-02-24,0.0
2019-03-03,0.0
2019-03-10,0.0
2019-03-17,0.0
2019-03-24,0.0
2019-03-31,0.0
2019-04-07,0.0
2019-04-14,0.0
2019-04-21,0.0
2019-04-28,0.0
2019-05-05,87.0
2019-05-12,0.0
2019-05-19,0.0
2019-05-26,0.0
2019-06-02,0.0
2019-06-09,0.0
2019-06-16,0.0
2019-06-23,82.0
2019-06-30,0.0
2019-07-07,0.0
2019-07-14,0.0
2019-07-21,0.0
2019-07-28,0.0
2019-08-04,0.0
2019-08-11,0.0
2019-08-18,0.0
2019-08-25,97.0
2019-09-01,0.0
2019-09-08,0.0
2019-09-15,0.0
2019-09-22,0.0
2019-09-29,0.0
2019-10-06,0.0
2019-10-13,100.0
2019-10-20,0.0
2019-10-27,0.0
2019-11-03,0.0
2019-11-10,0.0
2019-11-17,0.0
2019-11-24,0.0
2019-12-01,0.0
2019-12-08,0.0
2019-12-15,0.0
2019-12-22,0.0
2019-12-29,0.0
2020-01-05,0.0
2020-01-12,0.0
2020-01-19,0.0
2020-01-26,0.0
2020-02-02,0.0
2020-02-09,0.0
2020-02-16,0.0
2020-02-23,0.0
2020-03-01,0.0
2020-03-08,0.0
2020-03-15,168.16091954022988
2020-03-22,159.31034482758622
2020-03-29,157.54022988505747
2020-04-05,125.67816091954023
2020-04-12,106.20689655172414
2020-04-19,106.20689655172414
2020-04-26,84.96551724137932
2020-05-03,104.4367816091954
2020-05-10,0.0
2020-05-17,129.2183908045977
2020-05-24,0.0
2020-05-31,83.19540229885058
2020-06-07,0.0
2020-06-14,0.0
2020-06-21,0.0
2020-06-28,0.0
2020-07-05,0.0
2020-07-12,0.0
2020-07-19,0.0
2020-07-26,0.0
2020-08-02,0.0
2020-08-09,109.74712643678161
2020-08-16,0.0
2020-08-23,0.0
2020-08-30,0.0
2020-09-06,0.0
2020-09-13,86.73563218390805
2020-09-20,0.0
2020-09-27,0.0
2020-10-04,0.0
2020-10-11,0.0
2020-10-18,0.0
2020-10-25,0.0
2020-11-01,0.0
2020-11-08,88.50574712643679
2020-11-15,0.0
2020-11-22,0.0
2020-11-29,0.0
2020-12-06,0.0
2020-12-13,0.0
2020-12-20,0.0
2020-12-27,0.0
2021-01-03,0.0
2021-01-10,0.0
2021-01-17,0.0
2021-01-24,0.0
2021-01-31,0.0
2021-02-07,0.0
2021-02-14,0.0
2021-02-21,0.0
2021-02-28,0.0
2021-03-07,0.0
2021-03-14,79.65517241379311
2021-03-21,0.0
2021-03-28,0.0
2021-04-04,0.0
2021-04-11,0.0
2021-04-18,0.0
2021-04-25,0.0
2021-05-02,0.0
2021-05-09,0.0
2021-05-16,0.0
2021-05-23,0.0
2021-05-30,0.0
2021-06-06,0.0
2021-06-13,0.0
2021-06-20,0.0
2021-06-27,0.0
2021-07-04,0.0
2021-07-11,0.0
2021-07-18,0.0
2021-07-25,0.0
2021-08-01,0.0
2021-08-08,0.0
2021-08-15,0.0
2021-08-22,0.0
2021-08-29,0.0
2021-09-05,0.0
2021-09-12,0.0
2021-09-19,0.0
2021-09-26,0.0
2021-10-03,0.0
2021-10-10,0.0
2021-10-17,0.0
2021-10-24,0.0
2021-10-31,0.0
2021-11-07,0.0
2021-11-14,0.0
2021-11-21,0.0
2021-11-28,0.0
2021-12-05,0.0
2021-12-12,0.0
2021-12-19,0.0
2021-12-26,0.0
2022-01-02,0.0
2022-01-09,0.0
2022-01-16,0.0
2022-01-23,84.96551724137932
2022-01-30,0.0
2022-02-06,0.0
2022-02-13,65.49425287356323
2022-02-20,54.87356321839081
2022-02-27,70.80459770114943
2022-03-06,99.1264367816092
2022-03-13,63.724137931034484
2022-03-20,92.04597701149426
2022-03-27,0.0
2022-04-03,51.333333333333336
2022-04-10,93.816091954023
2022-04-17,93.816091954023
2022-04-24,53.10344827586207
2022-05-01,102.66666666666667
2022-05-08,122.13793103448276
2022-05-15,113.28735632183908
2022-05-22,97.35632183908046
2022-05-29,88.50574712643679
2022-06-05,84.96551724137932
2022-06-12,169.93103448275863
2022-06-19,155.77011494252875
2022-06-26,53.10344827586207
2022-07-03,118.59770114942529
2022-07-10,120.36781609195403
2022-07-17,0.0
2022-07-24,143.3793103448276
2022-07-31,90.27586206896552
2022-08-07,86.73563218390805
2022-08-14,63.724137931034484
2022-08-21,95.58620689655173
2022-08-28,81.42528735632185
2022-09-04,100.89655172413794
2022-09-11,63.724137931034484
2022-09-18,106.20689655172414
2022-09-25,92.04597701149426
2022-10-02,99.1264367816092
2022-10-09,177.01149425287358
2022-10-16,93.816091954023
2022-10-23,107.97701149425288
2022-10-30,0.0
2022-11-06,123.9080459770115
2022-11-13,122.13793103448276
2022-11-20,92.04597701149426
2022-11-27,95.58620689655173
2022-12-04,76.11494252873564
2022-12-11,0.0
2022-12-18,83.19540229885058
2022-12-25,84.96551724137932
2023-01-01,86.73563218390805
2023-01-08,88.50574712643679
2023-01-15,0.0
2023-01-22,88.50574712643679
2023-01-29,0.0
2023-02-05,58.41379310344828
2023-02-12,67.26436781609196
2023-02-19,60.18390804597701
2023-02-26,72.57471264367817
2023-03-05,53.10344827586207
2023-03-12,72.57471264367817
2023-03-19,104.4367816091954
2023-03-26,0.0
2023-04-02,0.0
2023-04-09,0.0
2023-04-16,95.58620689655173
2023-04-23,0.0
2023-04-30,0.0
2023-05-07,0.0
2023-05-14,84.96551724137932
2023-05-21,84.96551724137932
2023-05-28,102.66666666666667
2023-06-04,61.95402298850575
2023-06-11,58.41379310344828
2023-06-18,0.0
2023-06-25,0.0
2023-07-02,0.0
2023-07-09,0.0
2023-07-16,0.0
2023-07-23,61.95402298850575
2023-07-30,0.0
2023-08-06,0.0
2023-08-13,0.0
2023-08-20,0.0
2023-08-27,0.0
2023-09-03,65.49425287356323
2023-09-10,0.0
2023-09-17,0.0
2023-09-24,0.0
2023-10-01,0.0
2023-10-08,0.0
2023-10-15,0.0
2023-10-22,0.0
2023-10-29,0.0
2023-11-05,69.0344827586207
2023-11-12,0.0
2023-11-19,0.0
2023-11-26,0.0
2023-12-03,0.0
2023-12-10,0.0
2023-12-17,0.0
2023-12-24,0.0
2023-12-31,0.0
2024-01-07,65.69372209088522
2024-01-14,63.42842132913056
2024-01-21,0.0
2024-01-28,0.0
2024-02-04,0.0
2024-02-11,82.6834778040452
2024-02-18,0.0
2024-02-25,0.0
2024-03-03,0.0
2024-03-10,0.0
2024-03-17,0.0
2024-03-24,0.0
2024-03-31,113.26503808773313
2024-04-07,0.0
2024-04-14,0.0
2024-04-21,0.0
2024-04-28,0.0
2024-05-05,0.0
2024-05-12,0.0
2024-05-19,0.0
2024-05-26,0.0
2024-06-02,0.0
2024-06-09,0.0
2024-06-16,0.0
2024-06-23,0.0
2024-06-30,0.0
2024-07-07,63.42842132913056
2024-07-14,0.0
2024-07-21,0.0
2024-07-28,0.0
2024-08-04,0.0
2024-08-11,0.0
2024-08-18,0.0
2024-08-25,0.0
2024-09-01,0.0
2024-09-08,0.0
2024-09-15,79.2855266614132
2024-09-22,0.0
2024-09-29,0.0
2024-10-06,0.0
2024-10-13,0.0
2024-10-20,0.0
2024-10-27,0.0
2024-11-03,0.0
2024-11-10,0.0
2024-11-17,0.0
2024-11-24,0.0
2024-12-01,0.0
2024-12-08,0.0
2024-12-15,0.0
2024-12-22,0.0
2024-12-29,0.0
2025-01-05,0.0
2025-01-12,0.0
2025-01-19,0.0
2025-01-26,0.0
2025-02-02,0.0
2025-02-09,82.6834778040452
2025-02-16,0.0
2025-02-23,0.0
2025-03-02,0.0
2025-03-09,72.48962437614921
2025-03-16,0.0
2025-03-23,0.0
2025-03-30,0.0
2025-04-06,84.94877856579986
2025-04-13,0.0
2025-04-20,0.0
2025-04-27,0.0
2025-05-04,0.0
2025-05-11,0.0
2025-05-18,0.0
2025-05-25,0.0
2025-06-01,80.41817704229052
2025-06-08,0.0
2025-06-15,0.0
2025-06-22,0.0
2025-06-29,0.0
2025-07-06,0.0
2025-07-13,0.0
2025-07-20,0.0
2025-07-27,0.0
2025-08-03,0.0
2025-08-10,0.0
2025-08-17,0.0
2025-08-24,0.0
2025-08-31,0.0
2025-09-07,0.0
2025-09-14,0.0
2025-09-21,0.0
2025-09-28,0.0
2025-10-05,0.0
2025-10-12,0.0
2025-10-19,0.0
2025-10-26,0.0
2025-11-02,0.0
2025-11-09,0.0
2025-11-16,0.0
2025-11-23,0.0
2025-11-30,0.0
2025-12-07,0.0
2025-12-14,0.0
2025-12-21,0.0
2025-12-28,0.0
2026-01-04,0.0
2026-01-11,0.0
2026-01-18,0.0
2026-01-25,92.87733123194117
