,Aquaculture
2018-10-07,0.0
2018-10-14,100.0
2018-10-21,0.0
2018-10-28,0.0
2018-11-04,0.0
2018-11-11,0.0
2018-11-18,0.0
2018-11-25,0.0
2018-12-02,0.0
2018-12-09,0.0
2018-12-16,0.0
2018-12-23,0.0
2018-12-30,0.0
2019-01-06,0.0
2019-01-13,70.0
2019-01-20,0.0
2019-01-27,0.0
2019-02-03,81.0
2019-02-10,66.0
2019-02-17,78.0
2019-02-24,83.0
2019-03-03,0.0
2019-03-10,0.0
2019-03-17,0.0
2019-03-24,0.0
2019-03-31,69.0
2019-04-07,0.0
2019-04-14,0.0
2019-04-21,0.0
2019-04-28,0.0
2019-05-05,0.0
2019-05-12,0.0
2019-05-19,0.0
2019-05-26,0.0
2019-06-02,0.0
2019-06-09,0.0
2019-06-16,0.0
2019-06-23,0.0
2019-06-30,0.0
2019-07-07,0.0
2019-07-14,0.0
2019-07-21,0.0
2019-07-28,0.0
2019-08-04,0.0
2019-08-11,0.0
2019-08-18,96.0
2019-08-25,0.0
2019-09-01,89.0
2019-09-08,0.0
2019-09-15,0.0
2019-09-22,0.0
2019-09-29,62.0
2019-10-06,78.0
2019-10-13,0.0
2019-10-20,0.0
2019-10-27,0.0
2019-11-03,0.0
2019-11-10,0.0
2019-11-17,0.0
2019-11-24,0.0
2019-12-01,0.0
2019-12-08,97.0
2019-12-15,67.0
2019-12-22,0.0
2019-12-29,73.0
2020-01-05,0.0
2020-01-12,56.802962962962965
2020-01-19,67.26666666666667
2020-01-26,0.0
2020-02-02,0.0
2020-02-09,74.74074074074075
2020-02-16,73.24592592592593
2020-02-23,56.802962962962965
2020-03-01,0.0
2020-03-08,0.0
2020-03-15,0.0
2020-03-22,0.0
2020-03-29,0.0
2020-04-05,0.0
2020-04-12,70.2562962962963
2020-04-19,0.0
2020-04-26,0.0
2020-05-03,0.0
2020-05-10,0.0
2020-05-17,0.0
2020-05-24,0.0
2020-05-31,0.0
2020-06-07,0.0
2020-06-14,149.4814814814815
2020-06-21,0.0
2020-06-28,0.0
2020-07-05,0.0
2020-07-12,0.0
2020-07-19,0.0
2020-07-26,0.0
2020-08-02,0.0
2020-08-09,0.0
2020-08-16,0.0
2020-08-23,0.0
2020-08-30,0.0
2020-09-06,64.27703703703703
2020-09-13,0.0
2020-09-20,0.0
2020-09-27,97.16296296296296
2020-10-04,0.0
2020-10-11,0.0
2020-10-18,0.0
2020-10-25,59.79259259259259
2020-11-01,67.26666666666667
2020-11-08,92.67851851851852
2020-11-15,0.0
2020-11-22,67.26666666666667
2020-11-29,0.0
2020-12-06,0.0
2020-12-13,0.0
2020-12-20,0.0
2020-12-27,0.0
2021-01-03,0.0
2021-01-10,0.0
2021-01-17,0.0
2021-01-24,0.0
2021-01-31,0.0
2021-02-07,0.0
2021-02-14,0.0
2021-02-21,61.28740740740741
2021-02-28,0.0
2021-03-07,0.0
2021-03-14,0.0
2021-03-21,58.297777777777775
2021-03-28,73.24592592592593
2021-04-04,0.0
2021-04-11,0.0
2021-04-18,0.0
2021-04-25,0.0
2021-05-02,0.0
2021-05-09,65.77185185185185
2021-05-16,0.0
2021-05-23,58.297777777777775
2021-05-30,0.0
2021-06-06,89.68888888888888
2021-06-13,61.28740740740741
2021-06-20,104.63703703703703
2021-06-27,0.0
2021-07-04,62.782222222222224
2021-07-11,0.0
2021-07-18,0.0
2021-07-25,0.0
2021-08-01,107.62666666666667
2021-08-08,0.0
2021-08-15,0.0
2021-08-22,74.74074074074075
2021-08-29,71.75111111111111
2021-09-05,76.23555555555555
2021-09-12,0.0
2021-09-19,0.0
2021-09-26,0.0
2021-10-03,80.72
2021-10-10,77.73037037037037
2021-10-17,0.0
2021-10-24,0.0
2021-10-31,79.22518518518518
2021-11-07,0.0
2021-11-14,0.0
2021-11-21,86.69925925925926
2021-11-28,0.0
2021-12-05,101.64740740740741
2021-12-12,0.0
2021-12-19,0.0
2021-12-26,70.2562962962963
2022-01-02,0.0
2022-01-09,0.0
2022-01-16,83.70962962962963
2022-01-23,0.0
2022-01-30,0.0
2022-02-06,0.0
2022-02-13,0.0
2022-02-20,0.0
2022-02-27,64.27703703703703
2022-03-06,56.802962962962965
2022-03-13,0.0
2022-03-20,0.0
2022-03-27,50.82370370370371
2022-04-03,61.28740740740741
2022-04-10,50.82370370370371
2022-04-17,73.24592592592593
2022-04-24,0.0
2022-05-01,59.79259259259259
2022-05-08,52.318518518518516
2022-05-15,0.0
2022-05-22,86.69925925925926
2022-05-29,0.0
2022-06-05,0.0
2022-06-12,0.0
2022-06-19,0.0
2022-06-26,0.0
2022-07-03,0.0
2022-07-10,0.0
2022-07-17,0.0
2022-07-24,0.0
2022-07-31,0.0
2022-08-07,0.0
2022-08-14,65.77185185185185
2022-08-21,56.802962962962965
2022-08-28,64.27703703703703
2022-09-04,0.0
2022-09-11,0.0
2022-09-18,61.28740740740741
2022-09-25,64.27703703703703
2022-10-02,0.0
2022-10-09,91.1837037037037
2022-10-16,0.0
2022-10-23,73.24592592592593
2022-10-30,62.782222222222224
2022-11-06,0.0
2022-11-13,0.0
2022-11-20,49.32888888888889
2022-11-27,53.81333333333333
2022-12-04,0.0
2022-12-11,70.2562962962963
2022-12-18,53.81333333333333
2022-12-25,94.17333333333333
2023-01-01,55.30814814814815
2023-01-08,59.79259259259259
2023-01-15,0.0
2023-01-22,0.0
2023-01-29,0.0
2023-02-05,0.0
2023-02-12,58.297777777777775
2023-02-19,62.782222222222224
2023-02-26,0.0
2023-03-05,52.318518518518516
2023-03-12,47.834074074074074
2023-03-19,0.0
2023-03-26,58.297777777777775
2023-04-02,56.802962962962965
2023-04-09,0.0
2023-04-16,0.0
2023-04-23,0.0
2023-04-30,67.26666666666667
2023-05-07,59.79259259259259
2023-05-14,65.77185185185185
2023-05-21,0.0
2023-05-28,0.0
2023-06-04,0.0
2023-06-11,0.0
2023-06-18,0.0
2023-06-25,0.0
2023-07-02,0.0
2023-07-09,0.0
2023-07-16,68.76148148148148
2023-07-23,73.24592592592593
2023-07-30,0.0
2023-08-06,0.0
2023-08-13,0.0
2023-08-20,68.76148148148148
2023-08-27,134.53333333333333
2023-09-03,0.0
2023-09-10,0.0
2023-09-17,0.0
2023-09-24,68.76148148148148
2023-10-01,73.24592592592593
2023-10-08,0.0
2023-10-15,80.72
2023-10-22,0.0
2023-10-29,0.0
2023-11-05,59.79259259259259
2023-11-12,0.0
2023-11-19,0.0
2023-11-26,58.297777777777775
2023-12-03,67.26666666666667
2023-12-10,70.2562962962963
2023-12-17,91.1837037037037
2023-12-24,64.27703703703703
2023-12-31,79.22518518518518
2024-01-07,64.60436012296881
2024-01-14,65.95028429219732
2024-01-21,60.56658761528326
2024-01-28,94.21469184599619
2024-02-04,72.6799051383399
2024-02-11,79.4095259844825
2024-02-18,82.10137432293953
2024-02-25,56.52881510759771
2024-03-03,57.874739276826226
2024-03-10,0.0
2024-03-17,57.874739276826226
2024-03-24,98.25246435368173
2024-03-31,0.0
2024-04-07,0.0
2024-04-14,104.98208519982431
2024-04-21,63.258435953740296
2024-04-28,57.874739276826226
2024-05-05,0.0
2024-05-12,67.29620846142585
2024-05-19,0.0
2024-05-26,98.25246435368173
2024-06-02,64.60436012296881
2024-06-09,86.13914683062508
2024-06-16,0.0
2024-06-23,0.0
2024-06-30,87.48507099985359
2024-07-07,71.3339809691114
2024-07-14,72.6799051383399
2024-07-21,65.95028429219732
2024-07-28,0.0
2024-08-04,86.13914683062508
2024-08-11,78.06360181525397
2024-08-18,69.98805679988288
2024-08-25,0.0
2024-09-01,0.0
2024-09-08,0.0
2024-09-15,0.0
2024-09-22,69.98805679988288
2024-09-29,0.0
2024-10-06,61.91251178451178
2024-10-13,88.83099516908212
2024-10-20,0.0
2024-10-27,0.0
2024-11-03,0.0
2024-11-10,61.91251178451178
2024-11-17,69.98805679988288
2024-11-24,94.21469184599619
2024-12-01,72.6799051383399
2024-12-08,0.0
2024-12-15,95.5606160152247
2024-12-22,0.0
2024-12-29,0.0
2025-01-05,0.0
2025-01-12,61.91251178451178
2025-01-19,72.6799051383399
2025-01-26,115.74947855365245
2025-02-02,74.02582930756843
2025-02-09,95.5606160152247
2025-02-16,67.29620846142585
2025-02-23,63.258435953740296
2025-03-02,0.0
2025-03-09,102.29023686136728
2025-03-16,0.0
2025-03-23,69.98805679988288
2025-03-30,95.5606160152247
2025-04-06,0.0
2025-04-13,100.94431269213877
2025-04-20,0.0
2025-04-27,0.0
2025-05-04,0.0
2025-05-11,103.6361610305958
2025-05-18,69.98805679988288
2025-05-25,0.0
2025-06-01,0.0
2025-06-08,63.258435953740296
2025-06-15,0.0
2025-06-22,0.0
2025-06-29,0.0
2025-07-06,71.3339809691114
2025-07-13,0.0
2025-07-20,0.0
2025-07-27,0.0
2025-08-03,0.0
2025-08-10,0.0
2025-08-17,0.0
2025-08-24,74.02582930756843
2025-08-31,0.0
2025-09-07,61.91251178451178
2025-09-14,96.90654018445322
2025-09-21,68.64213263065436
2025-09-28,0.0
2025-10-05,0.0
2025-10-12,0.0
2025-10-19,0.0
2025-10-26,75.37175347679694
2025-11-02,0.0
2025-11-09,0.0
2025-11-16,0.0
2025-11-23,0.0
2025-11-30,0.0
2025-12-07,90.17691933831063
2025-12-14,0.0
2025-12-21,102.29023686136728
2025-12-28,63.258435953740296
2026-01-04,0.0
