,Bankruptcy
2018-10-07,0.0
2018-10-14,0.0
2018-10-21,0.0
2018-10-28,0.0
2018-11-04,69.0
2018-11-11,0.0
2018-11-18,0.0
2018-11-25,0.0
2018-12-02,0.0
2018-12-09,100.0
2018-12-16,0.0
2018-12-23,0.0
2018-12-30,0.0
2019-01-06,0.0
2019-01-13,0.0
2019-01-20,0.0
2019-01-27,0.0
2019-02-03,0.0
2019-02-10,0.0
2019-02-17,0.0
2019-02-24,0.0
2019-03-03,0.0
2019-03-10,0.0
2019-03-17,0.0
2019-03-24,0.0
2019-03-31,0.0
2019-04-07,0.0
2019-04-14,0.0
2019-04-21,0.0
2019-04-28,64.0
2019-05-05,0.0
2019-05-12,0.0
2019-05-19,0.0
2019-05-26,0.0
2019-06-02,0.0
2019-06-09,0.0
2019-06-16,0.0
2019-06-23,0.0
2019-06-30,0.0
2019-07-07,63.0
2019-07-14,0.0
2019-07-21,0.0
2019-07-28,0.0
2019-08-04,74.0
2019-08-11,0.0
2019-08-18,0.0
2019-08-25,0.0
2019-09-01,0.0
2019-09-08,0.0
2019-09-15,0.0
2019-09-22,92.0
2019-09-29,70.0
2019-10-06,0.0
2019-10-13,0.0
2019-10-20,0.0
2019-10-27,87.0
2019-11-03,80.0
2019-11-10,0.0
2019-11-17,90.0
2019-11-24,0.0
2019-12-01,0.0
2019-12-08,0.0
2019-12-15,70.0
2019-12-22,0.0
2019-12-29,74.0
2020-01-05,0.0
2020-01-12,0.0
2020-01-19,0.0
2020-01-26,65.08148148148148
2020-02-02,0.0
2020-02-09,70.74074074074073
2020-02-16,59.42222222222222
2020-02-23,0.0
2020-03-01,0.0
2020-03-08,0.0
2020-03-15,0.0
2020-03-22,84.88888888888889
2020-03-29,0.0
2020-04-05,0.0
2020-04-12,82.05925925925925
2020-04-19,0.0
2020-04-26,0.0
2020-05-03,0.0
2020-05-10,0.0
2020-05-17,87.71851851851851
2020-05-24,67.91111111111111
2020-05-31,59.42222222222222
2020-06-07,67.91111111111111
2020-06-14,0.0
2020-06-21,70.74074074074073
2020-06-28,124.50370370370369
2020-07-05,84.88888888888889
2020-07-12,0.0
2020-07-19,76.39999999999999
2020-07-26,0.0
2020-08-02,70.74074074074073
2020-08-09,90.54814814814814
2020-08-16,0.0
2020-08-23,0.0
2020-08-30,0.0
2020-09-06,0.0
2020-09-13,0.0
2020-09-20,0.0
2020-09-27,0.0
2020-10-04,0.0
2020-10-11,0.0
2020-10-18,0.0
2020-10-25,65.08148148148148
2020-11-01,0.0
2020-11-08,0.0
2020-11-15,0.0
2020-11-22,0.0
2020-11-29,0.0
2020-12-06,0.0
2020-12-13,0.0
2020-12-20,0.0
2020-12-27,0.0
2021-01-03,0.0
2021-01-10,0.0
2021-01-17,0.0
2021-01-24,0.0
2021-01-31,0.0
2021-02-07,0.0
2021-02-14,0.0
2021-02-21,0.0
2021-02-28,0.0
2021-03-07,67.91111111111111
2021-03-14,0.0
2021-03-21,0.0
2021-03-28,87.71851851851851
2021-04-04,0.0
2021-04-11,0.0
2021-04-18,70.74074074074073
2021-04-25,79.22962962962963
2021-05-02,0.0
2021-05-09,0.0
2021-05-16,0.0
2021-05-23,0.0
2021-05-30,0.0
2021-06-06,0.0
2021-06-13,73.57037037037037
2021-06-20,0.0
2021-06-27,107.52592592592592
2021-07-04,0.0
2021-07-11,0.0
2021-07-18,0.0
2021-07-25,56.59259259259259
2021-08-01,0.0
2021-08-08,56.59259259259259
2021-08-15,62.251851851851846
2021-08-22,0.0
2021-08-29,0.0
2021-09-05,0.0
2021-09-12,0.0
2021-09-19,0.0
2021-09-26,0.0
2021-10-03,0.0
2021-10-10,0.0
2021-10-17,0.0
2021-10-24,59.42222222222222
2021-10-31,0.0
2021-11-07,0.0
2021-11-14,0.0
2021-11-21,62.251851851851846
2021-11-28,0.0
2021-12-05,0.0
2021-12-12,76.39999999999999
2021-12-19,67.91111111111111
2021-12-26,0.0
2022-01-02,90.54814814814814
2022-01-09,0.0
2022-01-16,0.0
2022-01-23,0.0
2022-01-30,50.93333333333333
2022-02-06,48.1037037037037
2022-02-13,50.93333333333333
2022-02-20,39.614814814814814
2022-02-27,56.59259259259259
2022-03-06,99.03703703703704
2022-03-13,90.54814814814814
2022-03-20,178.26666666666665
2022-03-27,104.6962962962963
2022-04-03,90.54814814814814
2022-04-10,282.96296296296293
2022-04-17,132.9925925925926
2022-04-24,132.9925925925926
2022-05-01,79.22962962962963
2022-05-08,62.251851851851846
2022-05-15,181.0962962962963
2022-05-22,121.67407407407407
2022-05-29,56.59259259259259
2022-06-05,42.44444444444444
2022-06-12,53.76296296296296
2022-06-19,42.44444444444444
2022-06-26,56.59259259259259
2022-07-03,65.08148148148148
2022-07-10,90.54814814814814
2022-07-17,42.44444444444444
2022-07-24,79.22962962962963
2022-07-31,73.57037037037037
2022-08-07,45.27407407407407
2022-08-14,0.0
2022-08-21,39.614814814814814
2022-08-28,65.08148148148148
2022-09-04,45.27407407407407
2022-09-11,0.0
2022-09-18,0.0
2022-09-25,42.44444444444444
2022-10-02,0.0
2022-10-09,0.0
2022-10-16,42.44444444444444
2022-10-23,0.0
2022-10-30,39.614814814814814
2022-11-06,50.93333333333333
2022-11-13,62.251851851851846
2022-11-20,0.0
2022-11-27,0.0
2022-12-04,0.0
2022-12-11,0.0
2022-12-18,73.57037037037037
2022-12-25,0.0
2023-01-01,0.0
2023-01-08,0.0
2023-01-15,0.0
2023-01-22,0.0
2023-01-29,0.0
2023-02-05,50.93333333333333
2023-02-12,45.27407407407407
2023-02-19,45.27407407407407
2023-02-26,39.614814814814814
2023-03-05,0.0
2023-03-12,76.39999999999999
2023-03-19,45.27407407407407
2023-03-26,0.0
2023-04-02,0.0
2023-04-09,0.0
2023-04-16,0.0
2023-04-23,48.1037037037037
2023-04-30,0.0
2023-05-07,42.44444444444444
2023-05-14,56.59259259259259
2023-05-21,0.0
2023-05-28,0.0
2023-06-04,39.614814814814814
2023-06-11,0.0
2023-06-18,0.0
2023-06-25,39.614814814814814
2023-07-02,45.27407407407407
2023-07-09,0.0
2023-07-16,0.0
2023-07-23,0.0
2023-07-30,0.0
2023-08-06,0.0
2023-08-13,0.0
2023-08-20,45.27407407407407
2023-08-27,0.0
2023-09-03,42.44444444444444
2023-09-10,0.0
2023-09-17,0.0
2023-09-24,0.0
2023-10-01,0.0
2023-10-08,0.0
2023-10-15,0.0
2023-10-22,0.0
2023-10-29,53.76296296296296
2023-11-05,0.0
2023-11-12,0.0
2023-11-19,0.0
2023-11-26,0.0
2023-12-03,48.1037037037037
2023-12-10,0.0
2023-12-17,0.0
2023-12-24,0.0
2023-12-31,0.0
2024-01-07,0.0
2024-01-14,0.0
2024-01-21,0.0
2024-01-28,0.0
2024-02-04,0.0
2024-02-11,0.0
2024-02-18,47.66488413547236
2024-02-25,0.0
2024-03-03,0.0
2024-03-10,47.66488413547236
2024-03-17,0.0
2024-03-24,47.66488413547236
2024-03-31,0.0
2024-04-07,0.0
2024-04-14,0.0
2024-04-21,0.0
2024-04-28,0.0
2024-05-05,0.0
2024-05-12,0.0
2024-05-19,0.0
2024-05-26,0.0
2024-06-02,0.0
2024-06-09,0.0
2024-06-16,0.0
2024-06-23,0.0
2024-06-30,0.0
2024-07-07,0.0
2024-07-14,54.4741532976827
2024-07-21,58.5597147950089
2024-07-28,42.217468805704094
2024-08-04,0.0
2024-08-11,0.0
2024-08-18,0.0
2024-08-25,61.28342245989304
2024-09-01,46.3030303030303
2024-09-08,0.0
2024-09-15,0.0
2024-09-22,136.18538324420675
2024-09-29,0.0
2024-10-06,0.0
2024-10-13,0.0
2024-10-20,0.0
2024-10-27,0.0
2024-11-03,0.0
2024-11-10,0.0
2024-11-17,58.5597147950089
2024-11-24,0.0
2024-12-01,0.0
2024-12-08,51.75044563279857
2024-12-15,91.24420677361852
2024-12-22,74.90196078431372
2024-12-29,0.0
2025-01-05,61.28342245989304
2025-01-12,53.11229946524063
2025-01-19,0.0
2025-01-26,0.0
2025-02-02,0.0
2025-02-09,0.0
2025-02-16,0.0
2025-02-23,0.0
2025-03-02,0.0
2025-03-09,0.0
2025-03-16,0.0
2025-03-23,0.0
2025-03-30,0.0
2025-04-06,0.0
2025-04-13,0.0
2025-04-20,77.62566844919785
2025-04-27,68.09269162210337
2025-05-04,49.02673796791443
2025-05-11,0.0
2025-05-18,70.8163992869875
2025-05-25,0.0
2025-06-01,46.3030303030303
2025-06-08,0.0
2025-06-15,0.0
2025-06-22,0.0
2025-06-29,0.0
2025-07-06,0.0
2025-07-13,0.0
2025-07-20,0.0
2025-07-27,0.0
2025-08-03,57.197860962566835
2025-08-10,0.0
2025-08-17,0.0
2025-08-24,0.0
2025-08-31,0.0
2025-09-07,0.0
2025-09-14,0.0
2025-09-21,0.0
2025-09-28,0.0
2025-10-05,0.0
2025-10-12,0.0
2025-10-19,0.0
2025-10-26,0.0
2025-11-02,0.0
2025-11-09,0.0
2025-11-16,0.0
2025-11-23,0.0
2025-11-30,59.92156862745097
2025-12-07,0.0
2025-12-14,49.02673796791443
2025-12-21,0.0
2025-12-28,0.0
