,Newspapers
2018-06-17,60.0
2018-06-24,61.0
2018-07-01,64.0
2018-07-08,65.0
2018-07-15,66.0
2018-07-22,71.0
2018-07-29,72.0
2018-08-05,76.0
2018-08-12,76.0
2018-08-19,68.0
2018-08-26,67.0
2018-09-02,66.0
2018-09-09,67.0
2018-09-16,67.0
2018-09-23,64.0
2018-09-30,59.0
2018-10-07,64.0
2018-10-14,59.0
2018-10-21,61.0
2018-10-28,65.0
2018-11-04,54.0
2018-11-11,65.0
2018-11-18,63.0
2018-11-25,61.0
2018-12-02,58.0
2018-12-09,86.0
2018-12-16,66.0
2018-12-23,62.0
2018-12-30,66.0
2019-01-06,63.0
2019-01-13,58.0
2019-01-20,56.0
2019-01-27,60.0
2019-02-03,62.0
2019-02-10,67.0
2019-02-17,77.0
2019-02-24,91.0
2019-03-03,68.0
2019-03-10,66.0
2019-03-17,67.0
2019-03-24,67.0
2019-03-31,64.0
2019-04-07,65.0
2019-04-14,64.0
2019-04-21,67.0
2019-04-28,66.0
2019-05-05,59.0
2019-05-12,63.0
2019-05-19,100.0
2019-05-26,69.0
2019-06-02,64.0
2019-06-09,69.0
2019-06-16,64.0
2019-06-23,68.0
2019-06-30,67.0
2019-07-07,70.0
2019-07-14,73.0
2019-07-21,74.0
2019-07-28,69.0
2019-08-04,88.0
2019-08-11,69.0
2019-08-18,72.0
2019-08-25,70.0
2019-09-01,65.0
2019-09-08,66.0
2019-09-15,68.0
2019-09-22,68.0
2019-09-29,61.0
2019-10-06,58.0
2019-10-13,63.0
2019-10-20,72.0
2019-10-27,61.0
2019-11-03,68.0
2019-11-10,65.0
2019-11-17,62.0
2019-11-24,67.0
2019-12-01,63.0
2019-12-08,60.0
2019-12-15,71.0
2019-12-22,70.0
2019-12-29,64.0
2020-01-05,64.0
2020-01-12,57.0
2020-01-19,60.0
2020-01-26,62.0
2020-02-02,59.0
2020-02-09,66.0
2020-02-16,57.0
2020-02-23,63.0
2020-03-01,62.0
2020-03-08,65.0
2020-03-15,83.0
2020-03-22,96.0
2020-03-29,80.0
2020-04-05,85.0
2020-04-12,79.0
2020-04-19,77.0
2020-04-26,80.0
2020-05-03,77.0
2020-05-10,73.0
2020-05-17,82.0
2020-05-24,76.0
2020-05-31,73.0
2020-06-07,70.0
2020-06-14,76.0
2020-06-21,72.0
2020-06-28,78.0
2020-07-05,77.0
2020-07-12,78.0
2020-07-19,71.0
2020-07-26,70.0
2020-08-02,69.0
2020-08-09,64.0
2020-08-16,65.0
2020-08-23,61.0
2020-08-30,64.0
2020-09-06,63.0
2020-09-13,57.0
2020-09-20,61.0
2020-09-27,60.0
2020-10-04,59.0
2020-10-11,56.0
2020-10-18,59.0
2020-10-25,53.0
2020-11-01,54.0
2020-11-08,66.0
2020-11-15,53.0
2020-11-22,55.0
2020-11-29,56.0
2020-12-06,56.0
2020-12-13,54.0
2020-12-20,58.0
2020-12-27,57.0
2021-01-03,54.0
2021-01-10,53.0
2021-01-17,57.0
2021-01-24,57.0
2021-01-31,55.0
2021-02-07,57.0
2021-02-14,52.0
2021-02-21,59.0
2021-02-28,55.0
2021-03-07,56.0
2021-03-14,62.0
2021-03-21,60.0
2021-03-28,56.0
2021-04-04,65.0
2021-04-11,65.0
2021-04-18,78.0
2021-04-25,70.0
2021-05-02,82.0
2021-05-09,71.0
2021-05-16,66.0
2021-05-23,62.0
2021-05-30,61.0
2021-06-06,59.0
2021-06-13,59.0
2021-06-20,57.0
2021-06-27,55.0
2021-07-04,55.0
2021-07-11,54.0
2021-07-18,55.0
2021-07-25,57.0
2021-08-01,58.0
2021-08-08,56.0
2021-08-15,54.0
2021-08-22,54.0
2021-08-29,56.0
2021-09-05,54.0
2021-09-12,52.0
2021-09-19,50.0
2021-09-26,52.0
2021-10-03,51.0
2021-10-10,48.0
2021-10-17,50.0
2021-10-24,48.0
2021-10-31,44.0
2021-11-07,48.0
2021-11-14,49.0
2021-11-21,44.0
2021-11-28,52.0
2021-12-05,53.0
2021-12-12,51.0
2021-12-19,54.0
2021-12-26,54.0
2022-01-02,64.0
2022-01-09,58.0
2022-01-16,52.0
2022-01-23,51.0
2022-01-30,58.0
2022-02-06,53.0
2022-02-13,53.0
2022-02-20,57.0
2022-02-27,55.0
2022-03-06,66.0
2022-03-13,52.0
2022-03-20,55.0
2022-03-27,56.0
2022-04-03,52.0
2022-04-10,54.0
2022-04-17,53.0
2022-04-24,53.0
2022-05-01,50.0
2022-05-08,55.0
2022-05-15,54.0
2022-05-22,55.0
2022-05-29,58.0
2022-06-05,58.0
2022-06-12,62.0
2022-06-19,62.0
2022-06-26,70.0
2022-07-03,62.0
2022-07-10,65.0
2022-07-17,62.0
2022-07-24,59.0
2022-07-31,61.0
2022-08-07,60.0
2022-08-14,59.0
2022-08-21,61.0
2022-08-28,57.0
2022-09-04,56.0
2022-09-11,58.0
2022-09-18,56.0
2022-09-25,56.0
2022-10-02,49.0
2022-10-09,54.0
2022-10-16,53.0
2022-10-23,49.0
2022-10-30,54.0
2022-11-06,55.0
2022-11-13,56.0
2022-11-20,52.0
2022-11-27,50.0
2022-12-04,56.0
2022-12-11,54.0
2022-12-18,57.0
2022-12-25,61.0
2023-01-01,57.0
2023-01-08,54.0
2023-01-15,55.0
2023-01-22,50.0
2023-01-29,55.0
2023-02-05,53.0
2023-02-12,52.0
2023-02-19,55.0
2023-02-26,56.0
2023-03-05,51.0
2023-03-12,54.0
2023-03-19,57.0
2023-03-26,56.0
2023-04-02,53.0
2023-04-09,51.0
2023-04-16,54.0
2023-04-23,52.0
2023-04-30,53.0
2023-05-07,60.0
2023-05-14,57.0
2023-05-21,55.0
2023-05-28,59.0
2023-06-04,55.0
2023-06-11,58.0
2023-06-18,57.0
2023-06-25,54.0
2023-07-02,59.0
2023-07-09,60.0
2023-07-16,58.0
2023-07-23,60.0
2023-07-30,58.0
2023-08-06,58.0
2023-08-13,55.0
2023-08-20,57.0
2023-08-27,52.0
2023-09-03,56.0
2023-09-10,57.0
2023-09-17,57.0
2023-09-24,53.0
2023-10-01,55.0
2023-10-08,57.0
2023-10-15,54.0
2023-10-22,47.0
2023-10-29,51.0
2023-11-05,50.0
2023-11-12,49.0
2023-11-19,52.0
2023-11-26,56.0
2023-12-03,63.0
2023-12-10,53.0
2023-12-17,55.0
2023-12-24,54.0
2023-12-31,52.0
2024-01-07,50.460060904193014
2024-01-14,45.0049191848208
2024-01-21,46.368704614663855
2024-01-28,46.368704614663855
2024-02-04,41.595455610213165
2024-02-11,43.641133754977744
2024-02-18,42.95924104005622
2024-02-25,45.686811899742324
2024-03-03,42.95924104005622
2024-03-10,46.368704614663855
2024-03-17,45.686811899742324
2024-03-24,42.27734832513469
2024-03-31,41.595455610213165
2024-04-07,38.867884750527054
2024-04-14,40.91356289529163
2024-04-21,42.27734832513469
2024-04-28,41.595455610213165
2024-05-05,41.595455610213165
2024-05-12,42.95924104005622
2024-05-19,42.95924104005622
2024-05-26,47.73249004450691
2024-06-02,68.18927149215273
2024-06-09,46.368704614663855
2024-06-16,45.0049191848208
2024-06-23,46.368704614663855
2024-06-30,45.686811899742324
2024-07-07,42.95924104005622
2024-07-14,45.0049191848208
2024-07-21,47.73249004450691
2024-07-28,47.05059732958538
2024-08-04,50.460060904193014
2024-08-11,45.686811899742324
2024-08-18,45.686811899742324
2024-08-25,45.686811899742324
2024-09-01,43.641133754977744
2024-09-08,43.641133754977744
2024-09-15,42.27734832513469
2024-09-22,42.95924104005622
2024-09-29,42.27734832513469
2024-10-06,40.91356289529163
2024-10-13,40.91356289529163
2024-10-20,40.91356289529163
2024-10-27,35.45842117591942
2024-11-03,36.822206605762474
2024-11-10,36.822206605762474
2024-11-17,38.867884750527054
2024-11-24,38.18599203560552
2024-12-01,35.45842117591942
2024-12-08,35.45842117591942
2024-12-15,34.77652846099789
2024-12-22,39.54977746544858
2024-12-29,38.18599203560552
2025-01-05,37.504099320684
2025-01-12,32.73085031623331
2025-01-19,33.41274303115483
2025-01-26,34.094635746076364
2025-02-02,34.094635746076364
2025-02-09,32.73085031623331
2025-02-16,34.094635746076364
2025-02-23,34.094635746076364
2025-03-02,34.094635746076364
2025-03-09,29.321386741625673
2025-03-16,34.094635746076364
2025-03-23,31.367064886390253
2025-03-30,31.367064886390253
2025-04-06,32.048957601311784
2025-04-13,29.321386741625673
2025-04-20,34.77652846099789
2025-04-27,35.45842117591942
2025-05-04,49.77816818927149
2025-05-11,35.45842117591942
2025-05-18,33.41274303115483
2025-05-25,34.094635746076364
2025-06-01,32.048957601311784
2025-06-08,37.504099320684
2025-06-15,36.14031389084094
2025-06-22,34.77652846099789
2025-06-29,34.094635746076364
2025-07-06,34.77652846099789
2025-07-13,34.094635746076364
2025-07-20,33.41274303115483
2025-07-27,34.094635746076364
2025-08-03,32.73085031623331
2025-08-10,32.048957601311784
2025-08-17,33.41274303115483
2025-08-24,34.77652846099789
2025-08-31,33.41274303115483
2025-09-07,33.41274303115483
2025-09-14,34.77652846099789
2025-09-21,31.367064886390253
2025-09-28,27.27570859686109
2025-10-05,32.048957601311784
2025-10-12,30.685172171468725
2025-10-19,25.911923167018035
2025-10-26,30.685172171468725
2025-11-02,30.003279456547197
2025-11-09,36.822206605762474
2025-11-16,30.003279456547197
2025-11-23,30.003279456547197
2025-11-30,30.003279456547197
2025-12-07,29.321386741625673
2025-12-14,30.685172171468725
2025-12-21,30.003279456547197
2025-12-28,30.685172171468725
2026-01-04,31.367064886390253
