,Vehicle Brands
2019-02-17,22.0
2019-02-24,23.0
2019-03-03,19.0
2019-03-10,21.0
2019-03-17,25.0
2019-03-24,22.0
2019-03-31,18.0
2019-04-07,17.0
2019-04-14,19.0
2019-04-21,20.0
2019-04-28,19.0
2019-05-05,16.0
2019-05-12,18.0
2019-05-19,18.0
2019-05-26,16.0
2019-06-02,19.0
2019-06-09,18.0
2019-06-16,23.0
2019-06-23,19.0
2019-06-30,22.0
2019-07-07,16.0
2019-07-14,20.0
2019-07-21,22.0
2019-07-28,22.0
2019-08-04,22.0
2019-08-11,17.0
2019-08-18,21.0
2019-08-25,25.0
2019-09-01,34.0
2019-09-08,52.0
2019-09-15,100.0
2019-09-22,86.0
2019-09-29,17.0
2019-10-06,17.0
2019-10-13,20.0
2019-10-20,19.0
2019-10-27,17.0
2019-11-03,20.0
2019-11-10,19.0
2019-11-17,19.0
2019-11-24,17.0
2019-12-01,18.0
2019-12-08,18.0
2019-12-15,20.0
2019-12-22,19.0
2019-12-29,22.0
2020-01-05,22.0
2020-01-12,22.0
2020-01-19,20.0
2020-01-26,22.0
2020-02-02,20.0
2020-02-09,20.0
2020-02-16,23.0
2020-02-23,18.0
2020-03-01,20.0
2020-03-08,15.0
2020-03-15,17.0
2020-03-22,13.0
2020-03-29,14.0
2020-04-05,14.0
2020-04-12,14.0
2020-04-19,10.0
2020-04-26,10.0
2020-05-03,9.0
2020-05-10,10.0
2020-05-17,12.0
2020-05-24,11.0
2020-05-31,13.0
2020-06-07,13.0
2020-06-14,12.0
2020-06-21,13.0
2020-06-28,15.0
2020-07-05,15.0
2020-07-12,14.0
2020-07-19,13.0
2020-07-26,12.0
2020-08-02,15.0
2020-08-09,16.0
2020-08-16,11.0
2020-08-23,14.0
2020-08-30,13.0
2020-09-06,10.0
2020-09-13,13.0
2020-09-20,13.0
2020-09-27,17.0
2020-10-04,16.0
2020-10-11,15.0
2020-10-18,12.0
2020-10-25,20.0
2020-11-01,16.0
2020-11-08,16.0
2020-11-15,13.0
2020-11-22,16.0
2020-11-29,15.0
2020-12-06,17.0
2020-12-13,19.0
2020-12-20,18.0
2020-12-27,18.0
2021-01-03,17.0
2021-01-10,19.0
2021-01-17,18.0
2021-01-24,23.0
2021-01-31,20.0
2021-02-07,19.0
2021-02-14,18.0
2021-02-21,20.0
2021-02-28,20.0
2021-03-07,18.0
2021-03-14,19.0
2021-03-21,21.0
2021-03-28,22.0
2021-04-04,18.0
2021-04-11,17.0
2021-04-18,20.0
2021-04-25,22.0
2021-05-02,17.0
2021-05-09,19.0
2021-05-16,16.0
2021-05-23,17.0
2021-05-30,18.0
2021-06-06,19.0
2021-06-13,20.0
2021-06-20,20.0
2021-06-27,17.0
2021-07-04,18.0
2021-07-11,17.0
2021-07-18,17.0
2021-07-25,18.0
2021-08-01,19.0
2021-08-08,24.0
2021-08-15,22.0
2021-08-22,23.0
2021-08-29,23.0
2021-09-05,20.0
2021-09-12,20.0
2021-09-19,18.0
2021-09-26,19.0
2021-10-03,21.0
2021-10-10,17.0
2021-10-17,23.0
2021-10-24,20.0
2021-10-31,20.0
2021-11-07,21.0
2021-11-14,22.0
2021-11-21,20.0
2021-11-28,22.0
2021-12-05,21.0
2021-12-12,26.0
2021-12-19,22.0
2021-12-26,22.0
2022-01-02,23.0
2022-01-09,21.0
2022-01-16,18.0
2022-01-23,19.0
2022-01-30,22.0
2022-02-06,22.0
2022-02-13,21.0
2022-02-20,19.0
2022-02-27,20.0
2022-03-06,17.0
2022-03-13,19.0
2022-03-20,20.0
2022-03-27,18.0
2022-04-03,20.0
2022-04-10,23.0
2022-04-17,19.0
2022-04-24,21.0
2022-05-01,18.0
2022-05-08,20.0
2022-05-15,19.0
2022-05-22,23.0
2022-05-29,22.0
2022-06-05,19.0
2022-06-12,21.0
2022-06-19,19.0
2022-06-26,22.0
2022-07-03,22.0
2022-07-10,19.0
2022-07-17,21.0
2022-07-24,22.0
2022-07-31,23.0
2022-08-07,25.0
2022-08-14,23.0
2022-08-21,23.0
2022-08-28,20.0
2022-09-04,20.0
2022-09-11,20.0
2022-09-18,20.0
2022-09-25,19.0
2022-10-02,19.0
2022-10-09,21.0
2022-10-16,20.0
2022-10-23,19.0
2022-10-30,21.0
2022-11-06,20.0
2022-11-13,23.0
2022-11-20,20.0
2022-11-27,18.0
2022-12-04,21.0
2022-12-11,21.0
2022-12-18,21.0
2022-12-25,22.0
2023-01-01,22.0
2023-01-08,24.0
2023-01-15,20.0
2023-01-22,21.0
2023-01-29,23.0
2023-02-05,22.0
2023-02-12,23.0
2023-02-19,21.0
2023-02-26,23.0
2023-03-05,19.0
2023-03-12,19.0
2023-03-19,23.0
2023-03-26,21.0
2023-04-02,25.0
2023-04-09,22.0
2023-04-16,25.0
2023-04-23,22.0
2023-04-30,23.0
2023-05-07,22.0
2023-05-14,21.0
2023-05-21,20.0
2023-05-28,20.0
2023-06-04,23.0
2023-06-11,21.0
2023-06-18,21.0
2023-06-25,19.0
2023-07-02,22.0
2023-07-09,21.0
2023-07-16,21.0
2023-07-23,22.0
2023-07-30,23.0
2023-08-06,24.0
2023-08-13,25.0
2023-08-20,25.0
2023-08-27,26.0
2023-09-03,24.0
2023-09-10,23.0
2023-09-17,22.0
2023-09-24,25.0
2023-10-01,23.0
2023-10-08,23.0
2023-10-15,21.0
2023-10-22,23.0
2023-10-29,25.0
2023-11-05,24.0
2023-11-12,25.0
2023-11-19,26.0
2023-11-26,24.0
2023-12-03,27.0
2023-12-10,27.0
2023-12-17,27.0
2023-12-24,27.0
2023-12-31,28.0
2024-01-07,23.416149068322984
2024-01-14,26.658385093167702
2024-01-21,25.577639751552795
2024-01-28,29.180124223602487
2024-02-04,32.422360248447205
2024-02-11,29.180124223602487
2024-02-18,29.180124223602487
2024-02-25,28.459627329192546
2024-03-03,26.658385093167702
2024-03-10,25.577639751552795
2024-03-17,28.459627329192546
2024-03-24,28.459627329192546
2024-03-31,28.819875776397517
2024-04-07,27.018633540372672
2024-04-14,27.018633540372672
2024-04-21,28.819875776397517
2024-04-28,27.73913043478261
2024-05-05,26.658385093167702
2024-05-12,27.73913043478261
2024-05-19,26.658385093167702
2024-05-26,27.73913043478261
2024-06-02,27.73913043478261
2024-06-09,25.937888198757765
2024-06-16,23.055900621118013
2024-06-23,23.416149068322984
2024-06-30,24.13664596273292
2024-07-07,28.819875776397517
2024-07-14,29.540372670807454
2024-07-21,26.658385093167702
2024-07-28,26.298136645962735
2024-08-04,26.298136645962735
2024-08-11,29.900621118012424
2024-08-18,25.217391304347828
2024-08-25,26.658385093167702
2024-09-01,25.577639751552795
2024-09-08,23.416149068322984
2024-09-15,24.496894409937887
2024-09-22,26.298136645962735
2024-09-29,22.695652173913043
2024-10-06,27.018633540372672
2024-10-13,24.13664596273292
2024-10-20,25.217391304347828
2024-10-27,27.73913043478261
2024-11-03,26.298136645962735
2024-11-10,25.577639751552795
2024-11-17,26.298136645962735
2024-11-24,28.459627329192546
2024-12-01,29.180124223602487
2024-12-08,25.937888198757765
2024-12-15,28.459627329192546
2024-12-22,29.900621118012424
2024-12-29,29.540372670807454
2025-01-05,25.937888198757765
2025-01-12,28.09937888198758
2025-01-19,25.217391304347828
2025-01-26,30.26086956521739
2025-02-02,26.658385093167702
2025-02-09,28.09937888198758
2025-02-16,26.298136645962735
2025-02-23,25.217391304347828
2025-03-02,26.298136645962735
2025-03-09,27.018633540372672
2025-03-16,29.540372670807454
2025-03-23,28.09937888198758
2025-03-30,33.142857142857146
2025-04-06,34.58385093167702
2025-04-13,30.62111801242236
2025-04-20,30.26086956521739
2025-04-27,36.024844720496894
2025-05-04,25.217391304347828
2025-05-11,25.217391304347828
2025-05-18,26.298136645962735
2025-05-25,26.658385093167702
2025-06-01,24.13664596273292
2025-06-08,29.180124223602487
2025-06-15,31.341614906832298
2025-06-22,29.180124223602487
2025-06-29,28.459627329192546
2025-07-06,27.018633540372672
2025-07-13,27.378881987577643
2025-07-20,26.298136645962735
2025-07-27,27.378881987577643
2025-08-03,25.217391304347828
2025-08-10,25.937888198757765
2025-08-17,27.73913043478261
2025-08-24,29.540372670807454
2025-08-31,23.77639751552795
2025-09-07,25.577639751552795
2025-09-14,24.13664596273292
2025-09-21,23.055900621118013
2025-09-28,23.77639751552795
2025-10-05,24.857142857142858
2025-10-12,23.416149068322984
2025-10-19,27.378881987577643
2025-10-26,26.658385093167702
2025-11-02,25.937888198757765
2025-11-09,27.73913043478261
2025-11-16,28.09937888198758
2025-11-23,24.857142857142858
2025-11-30,26.658385093167702
2025-12-07,25.217391304347828
2025-12-14,27.378881987577643
2025-12-21,30.98136645962733
2025-12-28,27.73913043478261
2026-01-04,23.055900621118013
