,Accounting___Auditing,Acting___Theater,Advertising___Marketing,Agricultural_Equipment,Agriculture___Forestry,Agrochemicals,Alcoholic_Beverages,Animal_Products___Services,Apartments___Residential_Rentals,Apparel,Aquaculture,Architecture,Auto_Financing,Autos___Vehicles,Aviation,Boats___Watercraft,Book_Retailers,Building_Materials___Supplies,Business___Industrial,Business_News,Business_Operations,Business_Services,CAD___CAM,Car_Electronics,Car_Rental___Taxi_Services,Carpooling___Ridesharing,Chemicals_Industry,Civil_Engineering,Coatings___Adhesives,College_Financing,Commercial_Lending,Commercial_Vehicles,Computer_Hardware,Computer_Security,Computer_Servers,Computers___Electronics,Construction___Maintenance,Construction_Consulting___Contracting,Consulting,Consumer_Electronics,Corporate_Events,Credit___Lending,Cruises___Charters,Customer_Relationship_Management__CRM_,Data_Management,Developer_Jobs,Development_Tools,Distribution___Logistics,Doctors__Offices,Dyes___Pigments,Economy_News,Education,Emergency_Services,Energy___Utilities,Enterprise_Resource_Planning__ERP_,Enterprise_Technology,Entertainment_Industry,Entertainment_Media,Events___Listings,Fashion___Style,Fast_Food,Finance,Financial_Planning,Fire___Security_Services,Fitness,Flooring,Food___Drink,Food_Production,Footwear,Forestry,Freight___Trucking,Fuel_Economy___Gas_Prices,Gifts___Special_Event_Items,Government,GPS___Navigation,Grocery___Food_Retailers,Health,Health_Insurance,Home___Garden,Home_Appliances,Home_Financing,Home_Furnishings,Home_Improvement,Hospitals___Treatment_Centers,Hotels___Accommodations,Import___Export,Industrial_Materials___Equipment,Insurance,Internet___Telecom,Investing,Job_Listings,Jobs,Legal_Services,Luggage___Travel_Accessories,Luxury_Goods,Mail___Package_Delivery,Manufacturing,Maritime_Transport,Mass_Merchants___Department_Stores,Medical_Facilities___Services,Mental_Health,Newspapers,Office_Supplies,Outsourcing,Performing_Arts,Pharmaceuticals___Biotech,Pharmacy,Politics,Printing___Publishing,Professional___Trade_Associations,Programming,Rail_Transport,Real_Estate,Real_Estate_Agencies,Recruitment___Staffing,Restaurants,Resumes___Portfolios,Retail_Trade,Shopping,Social_Services,Spas___Beauty_Services,Sports,Swimming_Pools___Spas,Textiles___Nonwovens,Timeshares___Vacation_Properties,Tobacco_Products,Tourist_Destinations,Transportation___Logistics,Travel,Travel_Agencies___Services,Trucks___SUVs,Unwanted_Body___Facial_Hair_Removal,Vehicle_Brands,Vehicle_Licensing___Registration,Vehicle_Shopping,Veterinarians,Web_Hosting___Domain_Registration,Weddings,Welfare___Unemployment,World_News,Affordable_housing,Bank,Bankruptcy,Birthday,Commercial_Building,Crisis,Economic_crisis,Exportation,Financial_crisis,Foreclosure,Housing_bubble,House_moving,House_price_index,Interest,Investment,Job,Job_search,Loan,Luggage,Mortgage,Office_space,Private_employment_agency,Public_debt,Lawyer,Student_loan,Temporary_jobs,Unemployment,Unemployment_benefits,Recession,Recruitment
2020-09-06,34.25573065902579,53.0,96.68715083798882,94.54088254380274,77.81344537815127,110.71311475409836,72.71607843137255,79.11545988258317,76.41091658084449,76.06045179764557,46.0,89.32022738038845,75.78854625550662,91.54873348017622,51.0,67.83370485956308,4.33972602739726,70.54815041271782,92.43409153192655,107.67270128632684,71.66028309741881,102.79532481652625,80.76040384141837,75.83130131873601,29.0,129.98076923076923,108.67335243553008,62.135536576308944,89.25,70.68231046931407,69.17846519928612,54.9,104.38559529642332,82.05222072678332,55.22416413373861,94.80085348506402,78.10262193402875,82.87334465195246,69.15384615384615,86.85476593344613,38.442157779856565,73.0,39.785214785214784,84.4351575456053,75.20204081632652,62.71350613915416,86.35104166666667,120.45303533675629,83.16265560165975,113.0764730463853,67.40768841679312,52.5441023867174,83.88635553972212,79.59367461806487,80.15678954736352,92.5395033860045,66.95112651646447,58.94337940258581,25.919135308246595,83.5642954856361,73.82282282282283,93.49224011713032,94.34977578475336,64.69524184034604,76.02778719078279,59.57517700957935,87.66407714974551,107.29554140127388,65.13003802281368,55.579901153212525,99.32185430463576,36.53097345132744,47.72278056951424,81.74380165289256,65.81383255330212,91.71140552995392,114.7865072587532,92.86294099281923,90.06027219701879,52.970711297071134,113.80632008154944,88.50583657587548,58.89008042895442,89.17612809315867,52.13936249073387,77.94564885496183,69.16653905053599,81.0,94.3108031674208,132.4493702770781,54.21888111888112,63.32177263969172,42.616331360946745,52.21702887764216,49.67213114754098,103.00424281984336,117.10866443274293,62.27876520112255,83.20980261698824,102.1871325930764,102.13212634822806,63.0,85.76177130044843,77.49219201850781,58.29766052762567,107.29002896152254,109.52476107732409,5.0,71.7898832684825,25.0,92.40764331210192,21.570215545395165,86.30728155339807,46.66575567094834,0.0,60.06325088339224,85.38710968775021,84.33957952468006,81.57914240338803,45.66034897713598,63.41886234917508,16.860510805500983,17.580329701033808,102.32741738066096,78.86048020765737,71.59514170040485,48.86606334841629,53.25040916530278,43.75174825174825,44.0658942795076,88.09485251590515,6.267409470752089,60.0,68.90392422192151,86.84011551588343,89.65366001209921,98.01141878389952,56.0,43.5007180469124,11.0,0.0,44.4527027027027,0.0,63.95618556701031,0.0,0.0,0.0,104.94183673469388,0.0,0.0,0.0,,83.0,0.0,0.0,83.0,0.0,0.0,31.07486163705214,0.0,0.0,,0.0,69.6555023923445,39.02317497103128,,57.07960199004976,0.0,86.04444444444445,69.51811466760464
2020-09-13,34.25573065902579,53.0,101.46182495344506,97.0619727449708,81.1966386554622,106.45491803278688,70.20862745098039,76.28990774391949,67.80123583934089,80.06363347120586,43.0,83.08858360966367,78.94640234948605,89.28827092511015,55.0,69.48818546589389,4.33972602739726,67.07856924487923,87.43765415182243,111.45069080514531,70.57452123230641,96.52731720576244,75.3036197980793,76.81612341378452,32.0,101.09615384615384,111.86962750716332,59.69884886743409,87.5,69.23981433728726,71.523497917906,54.9,102.16462518373346,78.8963660834455,54.14133738601824,89.74480796586062,76.9010431350437,72.34974533106961,69.15384615384615,86.85476593344613,40.52011225444341,68.0,37.13286713286713,84.4351575456053,74.14285714285712,62.71350613915416,86.35104166666667,117.83449109030504,84.36791147994467,104.24237358963646,52.700556398583714,52.5441023867174,81.04275026718916,74.14205306888233,81.97853476434905,87.39841986455981,66.95112651646447,56.323673651359776,25.919135308246595,80.86867305061558,70.03703703703704,92.26207906295754,90.91887484712598,63.25756979944947,73.53507285665876,62.05747605164515,83.1100991159925,109.17791932059448,66.61026615969581,53.8956617243273,93.80397350993375,36.53097345132744,52.746231155778894,77.20247933884296,65.81383255330212,84.2753456221198,114.7865072587532,101.4349047767718,90.06027219701879,51.20502092050209,103.59293238192322,90.24124513618676,62.04490616621983,81.21397379912663,58.65678280207561,75.65312977099236,71.989663093415,76.0,87.95277149321267,126.24080604534004,45.96818181818182,58.45086705202312,38.55763313609467,53.43137838642454,49.67213114754098,95.73335509138384,212.92484442316896,60.6398503274088,72.23708139277001,93.55160026126714,106.84591679506936,57.0,85.76177130044843,73.10584152689415,54.47486311597809,110.86636326023996,107.63640312771504,5.0,68.9182879377432,22.0,79.57324840764332,19.7726975832789,79.58203883495146,42.93249521727248,0.0,57.2696113074205,88.87229783827063,82.3551188299817,80.46161990471148,53.38748495788207,63.41886234917508,27.69941060903733,17.580329701033808,100.94461444308446,77.4769630110318,77.56140350877193,46.48235294117647,51.34860883797054,46.40336935791481,43.08665218440744,85.64777327935222,29.24791086350975,61.0,64.79025710419485,86.84011551588343,87.54416212946158,94.28946617185272,57.0,55.479176639540455,9.0,0.0,28.76351351351352,0.0,61.215206185567006,0.0,0.0,0.0,102.35068027210885,65.77777777777777,0.0,0.0,,0.0,0.0,0.0,83.0,0.0,0.0,32.110690358287215,0.0,0.0,,0.0,75.66028708133972,36.72769409038239,,61.15671641791045,0.0,78.22222222222223,54.45585648962364
2020-09-20,35.43696275071633,55.0,97.88081936685288,94.54088254380274,77.81344537815127,103.61612021857924,67.70117647058824,71.58065417948,71.02986611740474,93.4075723830735,44.0,81.01136901942208,75.78854625550662,93.80919603524232,52.0,67.83370485956308,4.33972602739726,67.07856924487923,87.43765415182243,105.78370652691758,71.66028309741881,101.54172329437348,79.66904703275056,74.84647922368748,29.0,115.53846153846156,115.06590257879655,63.35388043074638,89.25,64.9123259412068,71.523497917906,53.375,97.72268495835374,76.79246298788695,50.892857142857146,93.53684210526318,76.9010431350437,109.1823429541596,70.34615384615384,83.28539199097575,39.48113501714999,66.0,38.901098901098905,84.4351575456053,78.37959183673468,68.41473396998636,86.35104166666667,112.5974025974026,78.34163208852006,100.7087338069369,52.700556398583714,47.93497059840885,82.46455290345564,78.50335030822836,78.33504433037798,88.68369074492098,68.40658578856151,53.70396790013374,30.23899119295436,83.5642954856361,68.14414414414415,87.34143484626647,87.48797390949858,69.00825796303579,72.28871568959674,55.85172844648064,83.1100991159925,111.06029723991507,63.649809885931546,52.21142229544207,89.66556291390727,36.53097345132744,48.97864321608041,71.14738292011019,66.75403016120644,86.75403225806451,114.7865072587532,100.00624414611302,88.69572261827608,52.970711297071134,97.75671083927963,85.03501945525291,57.83847184986595,78.02911208151383,55.39807264640474,77.94564885496183,71.989663093415,77.0,89.01244343891403,140.72745591939548,49.5041958041958,60.886319845857415,41.93988165680473,55.860077403989294,45.15648286140089,95.73335509138384,108.59167065581616,65.55659494855006,69.49390108671545,87.79457870672762,157.12634822804316,61.0,81.30661434977578,76.03007518796993,54.47486311597809,105.50186181216384,115.18983492615118,5.0,67.48249027237355,21.0,82.14012738853503,21.570215545395165,84.06553398058253,43.865810330691446,0.0,60.06325088339224,85.38710968775021,85.33180987202924,84.93170989941768,43.55294825511432,64.42551095789214,63.82907662082514,17.918412964515227,100.94461444308446,76.09344581440624,78.5557804768331,51.24977375565611,50.39770867430442,57.00985378258106,44.0658942795076,85.64777327935222,106.54596100278552,61.0,66.84709066305818,86.84011551588343,81.2156684815487,99.2520696545818,56.0,40.97893729056965,9.0,0.0,41.83783783783784,0.0,57.56056701030928,0.0,0.0,0.0,101.05510204081632,0.0,0.0,0.0,,0.0,0.0,0.0,79.0,0.0,0.0,23.82406058840664,0.0,100.0,,0.0,64.85167464114834,29.84125144843569,,32.616915422885576,0.0,0.0,62.566303200844175
2020-09-27,36.61819484240687,52.0,90.71880819366854,99.58306294613888,74.43025210084035,97.93852459016394,70.20862745098039,73.4643556052558,71.02986611740474,92.07317849188674,44.0,85.16579819990525,82.1042584434655,97.19988986784143,49.0,66.17922425323228,4.33972602739726,64.76551513298685,82.44121677171829,109.56169604573608,66.23147377185678,101.54172329437348,76.39497660674711,75.83130131873601,32.0,101.09615384615384,105.47707736389684,63.35388043074638,84.0,73.56730273336771,69.17846519928612,68.625,95.50171484566388,73.63660834454913,54.14133738601824,87.2167852062589,75.69946433605864,82.87334465195246,69.15384615384615,79.71601804850536,38.442157779856565,70.0,38.901098901098905,72.17844112769485,65.66938775510204,61.57326057298772,75.74652777777779,103.43249773482331,79.54688796680497,102.47555369828667,46.57258472432979,47.013144240747145,81.04275026718916,71.96140444920933,69.2263182454503,82.25733634311511,69.86204506065857,48.46455639768167,28.799039231385105,84.91210670314636,70.03703703703704,93.49224011713032,80.62617203424378,69.00825796303579,73.53507285665876,59.57517700957935,83.1100991159925,103.5307855626327,66.61026615969581,55.579901153212525,85.52715231788078,36.53097345132744,54.00209380234506,78.71625344352616,68.63442537701508,86.75403225806451,108.84927412467977,91.43428036216048,85.96662346079066,52.970711297071134,97.75671083927963,83.29961089494162,58.89008042895442,79.62154294032024,61.91549295774647,66.4830534351145,70.5781010719755,78.0,89.01244343891403,128.3103274559194,48.32552447552448,59.66859344894027,43.292781065088754,57.07442691277167,45.15648286140089,95.73335509138384,95.81617999042604,63.91768007483631,67.66511421601241,94.99085564990202,111.55970724191064,60.0,81.30661434977578,76.03007518796993,55.43056246888999,101.9255275134464,105.748045178106,5.0,66.0466926070039,20.0,73.15605095541402,19.7726975832789,81.823786407767,44.79912544411041,0.0,60.06325088339224,81.90192153722978,85.33180987202924,82.69666490206458,44.25541516245488,67.44545678404334,65.03339882121807,17.918412964515227,96.79620563035496,74.70992861778066,83.527665317139,52.44162895927602,49.4468085106383,57.00985378258106,48.96210475500845,85.64777327935222,106.54596100278552,61.0,76.10284167794316,86.84011551588343,81.2156684815487,89.32686268912363,58.0,39.0876017233126,9.0,0.0,39.222972972972975,0.0,63.95618556701031,0.0,0.0,0.0,85.50816326530612,0.0,0.0,0.0,,0.0,0.0,0.0,67.0,0.0,0.0,23.82406058840664,0.0,0.0,,0.0,68.45454545454547,36.72769409038239,,36.69402985074628,0.0,0.0,54.45585648962364
2020-10-04,33.07449856733524,51.0,93.10614525139664,103.36469824789098,74.43025210084035,100.7773224043716,70.20862745098039,78.17360916969528,76.41091658084449,108.08590518612792,41.0,76.8569398389389,82.1042584434655,93.80919603524232,47.0,66.17922425323228,4.33972602739726,65.92204218893305,86.18854480679639,111.45069080514531,67.3172356369692,100.28812177222072,77.48633341541492,84.69470017417268,32.0,101.09615384615384,107.07521489971346,67.00891199405866,84.0,67.79731820526044,70.35098155859606,85.39999999999999,93.28074473297404,78.8963660834455,57.38981762917933,85.95277382645804,75.69946433605864,73.66519524617996,69.15384615384615,83.28539199097575,42.59806672903025,69.0,42.43756243756244,77.62587064676617,72.02448979591836,63.8537517053206,78.77638888888889,108.66958622772576,79.54688796680497,98.94191391558714,44.12139605462823,49.77862331373227,82.46455290345564,74.14205306888233,72.86980867942137,87.39841986455981,66.95112651646447,48.46455639768167,28.799039231385105,84.91210670314636,68.14414414414415,93.49224011713032,80.62617203424378,60.38222571765631,72.28871568959674,62.05747605164515,88.80257165818377,105.41316348195328,71.0509505703422,55.579901153212525,89.66556291390727,36.53097345132744,51.49036850921273,77.20247933884296,82.73738949557982,84.2753456221198,118.74466268146882,100.00624414611302,81.87297472456254,52.970711297071134,103.59293238192322,85.03501945525291,58.89008042895442,79.62154294032024,68.4329132690882,72.21435114503817,71.989663093415,79.0,83.71408371040724,126.24080604534004,48.32552447552448,57.23314065510597,42.616331360946745,58.28877642155405,45.15648286140089,95.73335509138384,106.46242221158448,59.00093545369505,66.7507207806609,92.11234487263226,120.98728813559325,59.0,83.53419282511211,74.56795835743203,51.6077650572424,101.9255275134464,109.52476107732409,6.0,66.0466926070039,20.0,80.85668789808918,20.671456564337035,85.1864077669903,46.66575567094834,0.0,67.04734982332157,80.15932746196958,83.34734917733088,88.28427739544732,54.08995186522263,67.44545678404334,74.66797642436148,17.24224643755239,99.56181150550796,80.24399740428294,81.53891138101665,54.82533936651584,48.49590834697217,55.68404322949778,48.96210475500845,90.54193175245808,125.3481894150418,74.0,77.13125845737483,83.84562877395642,80.16091954022988,94.28946617185272,60.0,37.196266156055536,9.0,0.0,23.533783783783782,0.0,58.47422680412371,0.0,0.0,0.0,75.14353741496599,0.0,0.0,0.0,,0.0,0.0,0.0,55.0,0.0,0.0,23.82406058840664,0.0,0.0,,0.0,58.84688995215312,52.79606025492468,,36.69402985074628,0.0,0.0,35.9176925782624
2020-10-11,31.893266475644698,53.0,103.8491620111732,105.88578844905906,76.6857142857143,95.09972677595628,65.19372549019607,72.5225048923679,73.18228630278064,113.42348075087496,44.0,78.93415442918048,78.94640234948605,93.80919603524232,43.0,72.7971466785555,4.33972602739726,68.23509630082543,88.68676349684846,100.11672224868988,74.91756869275603,102.79532481652625,80.76040384141837,87.64916645931824,31.0,101.09615384615384,108.67335243553008,67.00891199405866,92.75,75.00979886539453,65.66091612135632,85.39999999999999,97.72268495835374,78.8963660834455,56.30699088145897,88.48079658605975,76.9010431350437,72.34974533106961,70.34615384615384,96.37309644670052,40.52011225444341,75.0,45.97402597402598,74.9021558872305,65.66938775510204,63.8537517053206,71.20173611111112,109.97885835095138,81.95739972337482,100.7087338069369,49.023773394031366,52.5441023867174,76.77734235838973,79.59367461806487,74.69155389640692,87.39841986455981,69.86204506065857,51.084262148907705,30.23899119295436,88.95554035567714,70.03703703703704,92.26207906295754,89.20342437831228,66.13291388124263,74.78143002372077,64.53977509371096,84.24859362443075,105.41316348195328,82.89277566539923,55.579901153212525,85.52715231788078,34.24778761061947,66.5607202680067,84.77134986225894,80.85699427977119,86.75403225806451,110.82835183603756,98.57758351545426,96.88302009073232,63.56485355648536,103.59293238192322,91.97665369649803,60.99329758713136,81.21397379912663,58.65678280207561,68.77557251908397,76.22434915773354,77.0,91.13178733031674,115.89319899244332,50.68286713286713,60.886319845857415,41.26343195266272,66.78922298303067,54.18777943368107,98.15698433420368,100.07467687888942,60.6398503274088,68.57950765136393,90.6730894839974,106.84591679506936,56.0,81.30661434977578,70.18160786581839,50.6520657043305,94.77285891601156,105.748045178106,6.0,66.0466926070039,19.0,69.30573248407643,21.570215545395165,80.70291262135923,46.66575567094834,0.0,68.44416961130743,80.15932746196958,89.30073126142595,100.57702488088935,49.17268351383876,63.41886234917508,72.25933202357564,18.25649622799665,100.94461444308446,84.39454899415965,85.51641925326136,52.44162895927602,49.4468085106383,59.66147488874762,48.96210475500845,97.88316946211684,127.43732590529248,63.0,71.9891745602165,90.83276450511944,82.27041742286751,88.08621181844136,61.0,40.34849210148397,8.0,0.0,31.37837837837838,0.0,65.78350515463917,0.0,0.0,0.0,73.84795918367347,0.0,0.0,0.0,,0.0,0.0,0.0,55.0,0.0,0.0,13.465773376055928,0.0,0.0,,0.0,60.04784688995216,0.0,,32.616915422885576,0.0,0.0,54.45585648962364
2020-10-18,33.07449856733524,47.0,93.10614525139664,126.05451005840364,71.04705882352943,89.42213114754098,65.19372549019607,71.58065417948,69.95365602471678,124.09863188036908,45.0,70.62529606821411,78.94640234948605,94.93942731277536,44.0,71.1426660722247,4.33972602739726,64.76551513298685,83.69032611674432,94.44973797046214,81.43213988343048,96.52731720576244,73.12090618074366,84.69470017417268,31.0,101.09615384615384,99.08452722063036,58.48050501299666,84.0,67.79731820526044,69.17846519928612,61.0,99.9436550710436,72.58465679676986,56.30699088145897,89.74480796586062,74.49788553707357,69.71884550084889,63.19230769230769,96.37309644670052,36.364203305269726,69.0,42.43756243756244,73.54029850746268,64.61020408163265,58.1525238744884,68.171875,116.52521896707944,78.34163208852006,91.87463435018806,44.12139605462823,46.09131788308544,75.35553972212327,69.78075582953632,71.04806346243583,83.54260722347628,65.49566724436741,56.323673651359776,28.799039231385105,91.65116279069764,70.03703703703704,84.88111273792094,84.05707297187118,56.06920959496657,71.04235852253473,71.98667221990839,85.38708813286901,103.5307855626327,94.73460076045626,52.21142229544207,86.90662251655628,31.964601769911503,74.09589614740369,72.66115702479338,76.1560062402496,84.2753456221198,102.91204099060631,88.57695910084297,95.51847051198962,67.09623430962343,96.29765545361876,95.44747081712062,60.99329758713136,71.6593886462882,61.91549295774647,65.33679389312977,69.16653905053599,71.0,85.83342760180996,117.96272040302269,47.14685314685315,56.01541425818883,40.58698224852071,69.21792200059542,45.15648286140089,99.3687989556136,104.3331737673528,57.3620205799813,71.32268795741848,84.91606792945787,94.2758089368259,59.0,80.19282511210763,70.18160786581839,56.38626182180188,96.56102606537029,101.97132927888792,5.0,66.0466926070039,19.0,69.30573248407643,23.367733507511428,80.70291262135923,41.99918010385351,0.0,67.04734982332157,76.67413931144917,97.23857404021938,105.04711487559555,51.280084235860414,63.41886234917508,68.64636542239685,17.918412964515227,102.32741738066096,77.4769630110318,80.54453441295547,51.24977375565611,51.34860883797054,66.29052765416402,55.81679942070964,90.54193175245808,127.43732590529248,65.0,71.9891745602165,83.84562877395642,82.27041742286751,84.36425920639454,63.0,37.82671134514122,8.0,0.0,31.37837837837838,0.0,64.86984536082474,0.0,0.0,0.0,62.18775510204082,53.44444444444444,0.0,0.0,,0.0,0.0,0.0,55.0,0.0,0.0,17.609088260996213,0.0,0.0,,0.0,60.04784688995216,29.84125144843569,,28.53980099502488,0.0,0.0,44.02813928948294
2020-10-25,28.349570200573066,49.0,90.71880819366854,100.84360804672292,69.91932773109245,85.1639344262295,77.73098039215687,70.63880346659212,71.02986611740474,130.77060133630292,40.0,68.54808147797253,72.63069016152717,100.59058370044056,43.0,66.17922425323228,4.33972602739726,62.452461021094464,81.19210742669225,96.33873272987138,67.3172356369692,87.75210655069313,66.57276532873676,81.74023388902712,32.0,101.09615384615384,94.2901146131805,54.82547344968437,75.25,79.33728726147498,62.14336704342652,56.425,91.05977462028416,71.5327052489906,57.38981762917933,82.16073968705548,70.89314914011841,77.61154499151104,66.76923076923077,86.85476593344613,39.48113501714999,67.0,41.55344655344656,65.36915422885572,59.3142857142857,57.01227830832196,62.11215277777778,106.05104198127457,74.72586445366528,84.80735478478897,42.895801719777445,45.16949152542373,75.35553972212327,69.78075582953632,67.40457302846477,80.97206546275395,68.40658578856151,55.01382077574676,28.799039231385105,86.25991792065662,77.6086086086086,82.42079062957541,72.0489196901753,48.88084939048368,67.3032870213487,71.98667221990839,83.1100991159925,92.23651804670914,90.29391634980988,52.21142229544207,82.7682119205298,31.964601769911503,99.21314907872696,68.11983471074379,70.51482059282371,86.75403225806451,98.9538855678907,85.71963783952545,95.51847051198962,60.03347280334728,91.92048929663608,91.97665369649803,59.941689008042886,73.25181950509462,65.17420311341735,64.19053435114503,69.16653905053599,66.0,79.47539592760181,117.96272040302269,48.32552447552448,56.01541425818883,43.96923076923076,65.57487347424829,45.15648286140089,90.88609660574414,95.81617999042604,57.3620205799813,68.57950765136393,82.03755715218811,86.41949152542374,53.0,75.73766816143498,70.18160786581839,54.47486311597809,92.98469176665289,98.19461337966986,6.0,57.431906614786,20.0,64.171974522293,22.468974526453295,82.94466019417477,42.93249521727248,0.0,71.23780918727917,73.18895116092875,85.33180987202924,105.04711487559555,47.06528279181709,66.43880817532627,68.64636542239685,17.24224643755239,96.79620563035496,80.24399740428294,78.5557804768331,54.82533936651584,47.54500818330605,54.358232676414495,61.69225199131065,88.09485251590515,135.79387186629526,76.0,67.87550744248985,82.84746652664741,76.99667271627344,84.36425920639454,77.0,35.93537577788416,9.0,0.0,23.533783783783782,65.08148148148148,66.6971649484536,0.0,0.0,0.0,66.07448979591837,0.0,0.0,0.0,,0.0,0.0,0.0,47.0,0.0,0.0,24.85988930964172,0.0,0.0,,0.0,69.6555023923445,29.84125144843569,,0.0,0.0,0.0,47.50404502286317
2020-11-01,28.349570200573066,50.0,87.13780260707635,89.4987021414666,67.6638655462185,83.74453551912568,67.70117647058824,64.98769918926475,63.49639546858908,133.43938911867644,37.0,68.54808147797253,72.63069016152717,81.37665198237887,38.0,66.17922425323228,4.33972602739726,63.60898807704066,79.94299808166622,86.89375893282516,66.23147377185678,89.00570807284589,66.57276532873676,75.83130131873601,30.0,86.65384615384616,92.69197707736387,56.0438173041218,78.75,60.58483754512636,62.14336704342652,51.85,82.17589416952474,73.63660834454913,60.63829787234043,78.36870554765292,70.89314914011841,63.14159592529711,63.19230769230769,84.47518330513255,37.40318054256315,69.0,44.205794205794206,62.64543946932007,58.25510204081632,58.1525238744884,62.11215277777778,100.8139534883721,73.52060857538035,86.57417467613875,41.670207384926655,44.24766516776202,69.66832917705736,69.78075582953632,67.40457302846477,82.25733634311511,61.12928942807625,51.084262148907705,27.35908726981585,83.5642954856361,68.14414414414415,84.88111273792094,75.4798206278027,57.50688163586315,61.07150118603863,70.74552269887548,79.69461559067774,90.35414012738852,96.2148288973384,50.52718286655684,78.6298013245033,34.24778761061947,55.25795644891122,89.31267217630852,69.57462298491939,79.3179723502304,93.01665243381724,85.71963783952545,87.33117303953337,56.50209205020921,93.37954468229698,86.77042801556419,56.786863270777474,70.06695778748181,58.65678280207561,60.75175572519084,63.52029096477795,64.0,76.29638009049773,105.5455919395466,45.96818181818182,54.79768786127168,39.9105325443787,60.71747543911879,40.6408345752608,88.4624673629243,91.55768310196264,59.00093545369505,64.00754047460633,79.15904637491835,80.13443759630202,54.0,72.3963004484305,67.25737420474262,50.6520657043305,91.19652461729416,92.52953953084275,55.0,55.99610894941635,19.0,64.171974522293,22.468974526453295,73.97766990291264,40.13254987701558,0.0,61.4600706713781,73.18895116092875,84.33957952468006,99.4595023822128,47.06528279181709,61.40556513174095,55.39882121807465,16.90416317407097,94.03059975520196,73.3264114211551,83.527665317139,48.86606334841629,48.49590834697217,51.70661157024794,47.982862659908285,80.75361480624639,110.72423398328692,55.0,66.84709066305818,77.85665529010238,71.72292800967936,71.9577504995718,62.0,35.30493058879847,23.0,0.0,18.304054054054056,0.0,72.17912371134021,0.0,0.0,0.0,68.6656462585034,0.0,0.0,0.0,,0.0,0.0,0.0,45.0,0.0,0.0,21.7524031459365,0.0,0.0,,0.0,61.2488038277512,0.0,,0.0,0.0,0.0,35.9176925782624
2020-11-08,24.80587392550143,48.0,83.55679702048417,89.4987021414666,60.89747899159665,78.06693989071039,62.68627450980392,61.220296337713165,58.11534500514933,120.0954502068088,39.0,60.23922311700616,69.47283406754772,82.50688325991192,33.0,62.87026304057066,44.48219178082192,54.35677162947111,71.19923266648398,96.33873272987138,59.71690258118235,83.99130198423485,57.84191085939424,74.84647922368748,30.0,86.65384615384616,81.50501432664755,45.07872261418492,70.0,51.929860752965446,55.10826888756692,45.75,82.17589416952474,65.22099596231494,60.63829787234043,75.84068278805123,66.08683394417817,59.19524617996604,53.65384615384615,80.90580936266215,36.364203305269726,61.0,40.66933066933067,54.4742951907131,50.8408163265306,57.01227830832196,54.5375,94.26759287224404,63.878561549100965,74.20643543669036,41.670207384926655,35.02940159114493,66.8247239045244,64.3291342803538,63.7610825944937,75.83098194130925,55.30745233968804,72.041908158716,23.039231385108085,71.43399452804377,68.14414414414415,83.65095168374818,63.47166734610681,50.31852143138026,54.83971535072857,64.53977509371096,78.55612108223949,82.82462845010616,100.65551330798478,48.842943437671615,71.73245033112582,27.398230088495573,82.88693467336684,81.74380165289256,63.93343733749349,74.36059907834101,89.05849701110162,78.57633468623166,85.96662346079066,61.79916317991632,81.70710159700985,85.03501945525291,52.58042895442359,62.10480349344978,52.13936249073387,49.28916030534351,50.81623277182236,60.0,75.23670814479638,130.37984886649875,43.61083916083916,49.92678227360308,36.52828402366863,63.146174456683546,45.15648286140089,86.03883812010446,80.91144088080421,44.25070159027128,59.43557329784874,74.84128020901372,75.42064714946072,66.0,66.82735426008969,70.18160786581839,45.87356893977103,101.9255275134464,88.75282363162468,31.0,54.56031128404671,17.0,53.90445859872612,22.468974526453295,66.13155339805826,34.532659196501776,0.0,64.25371024734983,64.47598078462771,84.33957952468006,97.2244573848597,37.9332129963899,56.37232208815563,27.69941060903733,15.88991338362671,82.96817625458996,70.55937702790396,81.53891138101665,50.0579185520362,46.59410801963993,46.40336935791481,47.982862659908285,78.30653556969347,43.871866295264624,55.0,59.64817320703653,72.86584405355735,60.12068965517241,69.47644875820725,62.0,32.78314983245573,15.0,0.0,39.222972972972975,0.0,66.6971649484536,0.0,0.0,0.0,69.96122448979592,0.0,0.0,0.0,,0.0,0.0,0.0,54.0,0.0,0.0,22.78823186717157,0.0,0.0,,0.0,64.85167464114834,32.13673232908459,,24.462686567164184,0.0,0.0,47.50404502286317
