,Credit & Lending
2021-05-23,50.0
2021-05-30,62.0
2021-06-06,60.0
2021-06-13,60.0
2021-06-20,60.0
2021-06-27,65.0
2021-07-04,65.0
2021-07-11,65.0
2021-07-18,67.0
2021-07-25,65.0
2021-08-01,66.0
2021-08-08,66.0
2021-08-15,64.0
2021-08-22,63.0
2021-08-29,66.0
2021-09-05,65.0
2021-09-12,65.0
2021-09-19,67.0
2021-09-26,66.0
2021-10-03,69.0
2021-10-10,57.0
2021-10-17,62.0
2021-10-24,62.0
2021-10-31,52.0
2021-11-07,59.0
2021-11-14,58.0
2021-11-21,58.0
2021-11-28,61.0
2021-12-05,62.0
2021-12-12,61.0
2021-12-19,66.0
2021-12-26,70.0
2022-01-02,79.0
2022-01-09,69.0
2022-01-16,65.0
2022-01-23,64.0
2022-01-30,75.0
2022-02-06,67.0
2022-02-13,71.0
2022-02-20,69.0
2022-02-27,78.0
2022-03-06,76.0
2022-03-13,66.0
2022-03-20,72.0
2022-03-27,64.0
2022-04-03,72.0
2022-04-10,67.0
2022-04-17,66.0
2022-04-24,71.0
2022-05-01,74.0
2022-05-08,74.0
2022-05-15,70.0
2022-05-22,68.0
2022-05-29,74.0
2022-06-05,73.0
2022-06-12,72.0
2022-06-19,75.0
2022-06-26,79.0
2022-07-03,82.0
2022-07-10,79.0
2022-07-17,79.0
2022-07-24,80.0
2022-07-31,83.0
2022-08-07,75.0
2022-08-14,74.0
2022-08-21,80.0
2022-08-28,78.0
2022-09-04,79.0
2022-09-11,80.0
2022-09-18,84.0
2022-09-25,81.0
2022-10-02,76.0
2022-10-09,82.0
2022-10-16,76.0
2022-10-23,63.0
2022-10-30,84.0
2022-11-06,78.0
2022-11-13,77.0
2022-11-20,70.0
2022-11-27,77.0
2022-12-04,74.0
2022-12-11,78.0
2022-12-18,81.0
2022-12-25,84.0
2023-01-01,83.0
2023-01-08,75.0
2023-01-15,79.0
2023-01-22,74.0
2023-01-29,81.0
2023-02-05,80.0
2023-02-12,77.0
2023-02-19,78.0
2023-02-26,81.0
2023-03-05,74.0
2023-03-12,75.0
2023-03-19,77.0
2023-03-26,79.0
2023-04-02,79.0
2023-04-09,78.0
2023-04-16,71.0
2023-04-23,73.0
2023-04-30,73.0
2023-05-07,71.0
2023-05-14,74.0
2023-05-21,74.0
2023-05-28,76.0
2023-06-04,77.0
2023-06-11,80.0
2023-06-18,80.0
2023-06-25,79.0
2023-07-02,88.0
2023-07-09,90.0
2023-07-16,85.0
2023-07-23,88.0
2023-07-30,90.0
2023-08-06,87.0
2023-08-13,86.0
2023-08-20,82.0
2023-08-27,80.0
2023-09-03,83.0
2023-09-10,85.0
2023-09-17,84.0
2023-09-24,93.0
2023-10-01,92.0
2023-10-08,89.0
2023-10-15,80.0
2023-10-22,70.0
2023-10-29,79.0
2023-11-05,75.0
2023-11-12,69.0
2023-11-19,72.0
2023-11-26,79.0
2023-12-03,84.0
2023-12-10,85.0
2023-12-17,81.0
2023-12-24,89.0
2023-12-31,88.0
2024-01-07,83.38927637314734
2024-01-14,76.903443766347
2024-01-21,69.49106364428945
2024-01-28,79.68308631211858
2024-02-04,83.38927637314734
2024-02-11,87.09546643417612
2024-02-18,86.16891891891892
2024-02-25,82.46272885789016
2024-03-03,81.53618134263296
2024-03-10,83.38927637314734
2024-03-17,81.53618134263296
2024-03-24,77.82999128160418
2024-03-31,81.53618134263296
2024-04-07,72.27070619006103
2024-04-14,64.85832606800349
2024-04-21,66.71142109851787
2024-04-28,74.12380122057542
2024-05-05,75.9768962510898
2024-05-12,82.46272885789016
2024-05-19,72.27070619006103
2024-05-26,73.19725370531822
2024-06-02,68.56451612903226
2024-06-09,78.75653879686138
2024-06-16,78.75653879686138
2024-06-23,75.9768962510898
2024-06-30,82.46272885789016
2024-07-07,80.60963382737576
2024-07-14,79.68308631211858
2024-07-21,85.24237140366174
2024-07-28,86.16891891891892
2024-08-04,78.75653879686138
2024-08-11,77.82999128160418
2024-08-18,78.75653879686138
2024-08-25,79.68308631211858
2024-09-01,78.75653879686138
2024-09-08,80.60963382737576
2024-09-15,82.46272885789016
2024-09-22,84.31582388840454
2024-09-29,81.53618134263296
2024-10-06,74.12380122057542
2024-10-13,78.75653879686138
2024-10-20,76.903443766347
2024-10-27,64.85832606800349
2024-11-03,72.27070619006103
2024-11-10,73.19725370531822
2024-11-17,68.56451612903226
2024-11-24,68.56451612903226
2024-12-01,72.27070619006103
2024-12-08,70.41761115954665
2024-12-15,72.27070619006103
2024-12-22,70.41761115954665
2024-12-29,75.05034873583261
2025-01-05,72.27070619006103
2025-01-12,66.71142109851787
2025-01-19,67.63796861377507
2025-01-26,71.34415867480384
2025-02-02,73.19725370531822
2025-02-09,74.12380122057542
2025-02-16,70.41761115954665
2025-02-23,68.56451612903226
2025-03-02,71.34415867480384
2025-03-09,63.931778552746295
2025-03-16,73.19725370531822
2025-03-23,69.49106364428945
2025-03-30,68.56451612903226
2025-04-06,63.931778552746295
2025-04-13,63.005231037489104
2025-04-20,63.931778552746295
2025-04-27,67.63796861377507
2025-05-04,65.78487358326068
2025-05-11,65.78487358326068
2025-05-18,66.71142109851787
2025-05-25,67.63796861377507
2025-06-01,75.05034873583261
2025-06-08,74.12380122057542
2025-06-15,75.05034873583261
2025-06-22,71.34415867480384
2025-06-29,71.34415867480384
2025-07-06,70.41761115954665
2025-07-13,75.05034873583261
2025-07-20,72.27070619006103
2025-07-27,72.27070619006103
2025-08-03,73.19725370531822
2025-08-10,65.78487358326068
2025-08-17,72.27070619006103
2025-08-24,70.41761115954665
2025-08-31,71.34415867480384
2025-09-07,73.19725370531822
2025-09-14,74.12380122057542
2025-09-21,79.68308631211858
2025-09-28,68.56451612903226
2025-10-05,75.05034873583261
2025-10-12,71.34415867480384
2025-10-19,61.152136006974715
2025-10-26,65.78487358326068
2025-11-02,67.63796861377507
2025-11-09,67.63796861377507
2025-11-16,64.85832606800349
2025-11-23,65.78487358326068
2025-11-30,67.63796861377507
2025-12-07,65.78487358326068
2025-12-14,68.56451612903226
2025-12-21,68.56451612903226
2025-12-28,69.49106364428945
2026-01-04,71.34415867480384
