,Car Rental & Taxi Services
2019-03-03,46.0
2019-03-10,50.0
2019-03-17,48.0
2019-03-24,51.0
2019-03-31,50.0
2019-04-07,43.0
2019-04-14,49.0
2019-04-21,45.0
2019-04-28,48.0
2019-05-05,51.0
2019-05-12,54.0
2019-05-19,51.0
2019-05-26,55.0
2019-06-02,55.0
2019-06-09,56.0
2019-06-16,51.0
2019-06-23,55.0
2019-06-30,48.0
2019-07-07,50.0
2019-07-14,51.0
2019-07-21,52.0
2019-07-28,51.0
2019-08-04,53.0
2019-08-11,52.0
2019-08-18,52.0
2019-08-25,49.0
2019-09-01,48.0
2019-09-08,49.0
2019-09-15,49.0
2019-09-22,49.0
2019-09-29,51.0
2019-10-06,49.0
2019-10-13,46.0
2019-10-20,47.0
2019-10-27,43.0
2019-11-03,49.0
2019-11-10,50.0
2019-11-17,56.0
2019-11-24,47.0
2019-12-01,48.0
2019-12-08,87.0
2019-12-15,100.0
2019-12-22,58.0
2019-12-29,51.0
2020-01-05,46.0
2020-01-12,44.0
2020-01-19,44.0
2020-01-26,43.0
2020-02-02,42.0
2020-02-09,44.0
2020-02-16,41.0
2020-02-23,40.0
2020-03-01,40.0
2020-03-08,34.0
2020-03-15,33.0
2020-03-22,24.0
2020-03-29,16.0
2020-04-05,15.0
2020-04-12,15.0
2020-04-19,15.0
2020-04-26,16.0
2020-05-03,21.0
2020-05-10,21.0
2020-05-17,27.0
2020-05-24,25.0
2020-05-31,25.0
2020-06-07,24.0
2020-06-14,22.0
2020-06-21,24.0
2020-06-28,24.0
2020-07-05,25.0
2020-07-12,24.0
2020-07-19,24.0
2020-07-26,25.0
2020-08-02,25.0
2020-08-09,27.0
2020-08-16,27.0
2020-08-23,27.0
2020-08-30,29.0
2020-09-06,29.0
2020-09-13,32.0
2020-09-20,29.0
2020-09-27,32.0
2020-10-04,32.0
2020-10-11,31.0
2020-10-18,31.0
2020-10-25,32.0
2020-11-01,30.0
2020-11-08,30.0
2020-11-15,35.0
2020-11-22,34.0
2020-11-29,33.0
2020-12-06,35.0
2020-12-13,38.0
2020-12-20,42.0
2020-12-27,39.0
2021-01-03,36.0
2021-01-10,35.0
2021-01-17,39.0
2021-01-24,45.0
2021-01-31,48.0
2021-02-07,37.0
2021-02-14,37.0
2021-02-21,38.0
2021-02-28,36.0
2021-03-07,34.0
2021-03-14,36.0
2021-03-21,33.0
2021-03-28,36.0
2021-04-04,33.0
2021-04-11,30.0
2021-04-18,25.0
2021-04-25,25.0
2021-05-02,22.0
2021-05-09,21.0
2021-05-16,22.0
2021-05-23,22.0
2021-05-30,25.0
2021-06-06,25.0
2021-06-13,27.0
2021-06-20,29.0
2021-06-27,30.0
2021-07-04,32.0
2021-07-11,34.0
2021-07-18,33.0
2021-07-25,33.0
2021-08-01,35.0
2021-08-08,36.0
2021-08-15,37.0
2021-08-22,37.0
2021-08-29,34.0
2021-09-05,33.0
2021-09-12,36.0
2021-09-19,38.0
2021-09-26,37.0
2021-10-03,37.0
2021-10-10,36.0
2021-10-17,35.0
2021-10-24,35.0
2021-10-31,33.0
2021-11-07,37.0
2021-11-14,43.0
2021-11-21,47.0
2021-11-28,48.0
2021-12-05,42.0
2021-12-12,40.0
2021-12-19,46.0
2021-12-26,45.0
2022-01-02,36.0
2022-01-09,32.0
2022-01-16,31.0
2022-01-23,33.0
2022-01-30,36.0
2022-02-06,34.0
2022-02-13,39.0
2022-02-20,39.0
2022-02-27,42.0
2022-03-06,41.0
2022-03-13,41.0
2022-03-20,43.0
2022-03-27,43.0
2022-04-03,42.0
2022-04-10,48.0
2022-04-17,46.0
2022-04-24,46.0
2022-05-01,50.0
2022-05-08,49.0
2022-05-15,47.0
2022-05-22,50.0
2022-05-29,50.0
2022-06-05,49.0
2022-06-12,47.0
2022-06-19,49.0
2022-06-26,47.0
2022-07-03,50.0
2022-07-10,47.0
2022-07-17,47.0
2022-07-24,47.0
2022-07-31,49.0
2022-08-07,50.0
2022-08-14,50.0
2022-08-21,49.0
2022-08-28,48.0
2022-09-04,47.0
2022-09-11,48.0
2022-09-18,47.0
2022-09-25,47.0
2022-10-02,46.0
2022-10-09,48.0
2022-10-16,47.0
2022-10-23,42.0
2022-10-30,46.0
2022-11-06,49.0
2022-11-13,47.0
2022-11-20,58.0
2022-11-27,60.0
2022-12-04,53.0
2022-12-11,49.0
2022-12-18,51.0
2022-12-25,56.0
2023-01-01,49.0
2023-01-08,47.0
2023-01-15,48.0
2023-01-22,48.0
2023-01-29,47.0
2023-02-05,48.0
2023-02-12,47.0
2023-02-19,48.0
2023-02-26,47.0
2023-03-05,46.0
2023-03-12,45.0
2023-03-19,47.0
2023-03-26,47.0
2023-04-02,48.0
2023-04-09,50.0
2023-04-16,49.0
2023-04-23,50.0
2023-04-30,54.0
2023-05-07,51.0
2023-05-14,53.0
2023-05-21,52.0
2023-05-28,53.0
2023-06-04,52.0
2023-06-11,55.0
2023-06-18,54.0
2023-06-25,53.0
2023-07-02,53.0
2023-07-09,52.0
2023-07-16,51.0
2023-07-23,51.0
2023-07-30,53.0
2023-08-06,51.0
2023-08-13,49.0
2023-08-20,47.0
2023-08-27,51.0
2023-09-03,48.0
2023-09-10,49.0
2023-09-17,44.0
2023-09-24,50.0
2023-10-01,47.0
2023-10-08,46.0
2023-10-15,47.0
2023-10-22,43.0
2023-10-29,43.0
2023-11-05,44.0
2023-11-12,43.0
2023-11-19,47.0
2023-11-26,57.0
2023-12-03,59.0
2023-12-10,49.0
2023-12-17,52.0
2023-12-24,64.0
2023-12-31,53.0
2024-01-07,46.293255131964806
2024-01-14,47.5791788856305
2024-01-21,48.22214076246334
2024-01-28,44.36436950146627
2024-02-04,45.00733137829912
2024-02-11,52.07991202346041
2024-02-18,45.00733137829912
2024-02-25,46.936217008797655
2024-03-03,43.72140762463343
2024-03-10,42.435483870967744
2024-03-17,43.72140762463343
2024-03-24,42.435483870967744
2024-03-31,42.435483870967744
2024-04-07,42.435483870967744
2024-04-14,46.293255131964806
2024-04-21,45.65029325513196
2024-04-28,47.5791788856305
2024-05-05,46.293255131964806
2024-05-12,46.936217008797655
2024-05-19,48.86510263929619
2024-05-26,49.50806451612903
2024-06-02,45.65029325513196
2024-06-09,48.86510263929619
2024-06-16,48.86510263929619
2024-06-23,46.936217008797655
2024-06-30,48.86510263929619
2024-07-07,48.22214076246334
2024-07-14,46.293255131964806
2024-07-21,47.5791788856305
2024-07-28,46.936217008797655
2024-08-04,46.293255131964806
2024-08-11,51.43695014662757
2024-08-18,48.22214076246334
2024-08-25,45.65029325513196
2024-09-01,46.293255131964806
2024-09-08,46.293255131964806
2024-09-15,43.72140762463343
2024-09-22,46.936217008797655
2024-09-29,43.078445747800586
2024-10-06,45.65029325513196
2024-10-13,44.36436950146627
2024-10-20,43.078445747800586
2024-10-27,41.14956011730205
2024-11-03,43.72140762463343
2024-11-10,43.72140762463343
2024-11-17,50.151026392961874
2024-11-24,48.86510263929619
2024-12-01,47.5791788856305
2024-12-08,44.36436950146627
2024-12-15,45.00733137829912
2024-12-22,52.72287390029325
2024-12-29,45.65029325513196
2025-01-05,43.72140762463343
2025-01-12,43.72140762463343
2025-01-19,41.792521994134894
2025-01-26,44.36436950146627
2025-02-02,43.72140762463343
2025-02-09,43.078445747800586
2025-02-16,41.14956011730205
2025-02-23,39.22067448680352
2025-03-02,41.14956011730205
2025-03-09,36.64882697947214
2025-03-16,39.22067448680352
2025-03-23,37.93475073313783
2025-03-30,41.792521994134894
2025-04-06,41.792521994134894
2025-04-13,43.72140762463343
2025-04-20,42.435483870967744
2025-04-27,43.72140762463343
2025-05-04,43.078445747800586
2025-05-11,43.72140762463343
2025-05-18,45.00733137829912
2025-05-25,43.078445747800586
2025-06-01,45.00733137829912
2025-06-08,48.22214076246334
2025-06-15,46.936217008797655
2025-06-22,44.36436950146627
2025-06-29,43.72140762463343
2025-07-06,43.72140762463343
2025-07-13,43.72140762463343
2025-07-20,41.792521994134894
2025-07-27,43.72140762463343
2025-08-03,48.22214076246334
2025-08-10,46.293255131964806
2025-08-17,44.36436950146627
2025-08-24,41.792521994134894
2025-08-31,43.72140762463343
2025-09-07,44.36436950146627
2025-09-14,42.435483870967744
2025-09-21,45.65029325513196
2025-09-28,45.00733137829912
2025-10-05,41.792521994134894
2025-10-12,42.435483870967744
2025-10-19,37.93475073313783
2025-10-26,44.36436950146627
2025-11-02,46.936217008797655
2025-11-09,45.65029325513196
2025-11-16,47.5791788856305
2025-11-23,47.5791788856305
2025-11-30,46.293255131964806
2025-12-07,44.36436950146627
2025-12-14,46.293255131964806
2025-12-21,54.00879765395894
2025-12-28,49.50806451612903
2026-01-04,45.65029325513196
