,Car Electronics
2016-12-04,53.0
2016-12-11,57.0
2016-12-18,67.0
2016-12-25,63.0
2017-01-01,65.0
2017-01-08,56.0
2017-01-15,54.0
2017-01-22,58.0
2017-01-29,48.0
2017-02-05,47.0
2017-02-12,46.0
2017-02-19,47.0
2017-02-26,49.0
2017-03-05,49.0
2017-03-12,49.0
2017-03-19,52.0
2017-03-26,59.0
2017-04-02,52.0
2017-04-09,52.0
2017-04-16,55.0
2017-04-23,54.0
2017-04-30,50.0
2017-05-07,49.0
2017-05-14,52.0
2017-05-21,50.0
2017-05-28,55.0
2017-06-04,60.0
2017-06-11,55.0
2017-06-18,70.0
2017-06-25,56.0
2017-07-02,57.0
2017-07-09,57.0
2017-07-16,62.0
2017-07-23,65.0
2017-07-30,65.0
2017-08-06,65.0
2017-08-13,66.0
2017-08-20,68.0
2017-08-27,63.0
2017-09-03,64.0
2017-09-10,62.0
2017-09-17,66.0
2017-09-24,62.0
2017-10-01,74.0
2017-10-08,78.0
2017-10-15,67.0
2017-10-22,76.0
2017-10-29,74.0
2017-11-05,76.0
2017-11-12,80.0
2017-11-19,81.0
2017-11-26,84.0
2017-12-03,91.0
2017-12-10,86.0
2017-12-17,88.0
2017-12-24,83.0
2017-12-31,74.0
2018-01-07,78.0
2018-01-14,71.0
2018-01-21,66.0
2018-01-28,65.0
2018-02-04,65.0
2018-02-11,68.0
2018-02-18,66.0
2018-02-25,63.0
2018-03-04,63.0
2018-03-11,70.0
2018-03-18,68.0
2018-03-25,73.0
2018-04-01,69.0
2018-04-08,70.0
2018-04-15,70.0
2018-04-22,69.0
2018-04-29,70.0
2018-05-06,72.0
2018-05-13,77.0
2018-05-20,81.0
2018-05-27,79.0
2018-06-03,80.0
2018-06-10,81.0
2018-06-17,80.0
2018-06-24,78.0
2018-07-01,78.0
2018-07-08,84.0
2018-07-15,84.0
2018-07-22,78.0
2018-07-29,80.0
2018-08-05,83.0
2018-08-12,85.0
2018-08-19,81.0
2018-08-26,81.0
2018-09-02,83.0
2018-09-09,82.0
2018-09-16,93.0
2018-09-23,96.0
2018-09-30,91.0
2018-10-07,100.0
2018-10-14,87.0
2018-10-21,94.0
2018-10-28,97.0
2018-11-04,86.0
2018-11-11,92.0
2018-11-18,91.0
2018-11-25,93.0
2018-12-02,90.0
2018-12-09,94.0
2018-12-16,91.0
2018-12-23,97.0
2018-12-30,82.0
2019-01-06,80.0
2019-01-13,75.0
2019-01-20,80.0
2019-01-27,77.0
2019-02-03,72.0
2019-02-10,77.0
2019-02-17,79.0
2019-02-24,70.0
2019-03-03,77.0
2019-03-10,74.0
2019-03-17,71.0
2019-03-24,74.0
2019-03-31,74.0
2019-04-07,69.0
2019-04-14,67.0
2019-04-21,69.0
2019-04-28,71.0
2019-05-05,73.0
2019-05-12,74.0
2019-05-19,72.0
2019-05-26,74.0
2019-06-02,73.0
2019-06-09,69.0
2019-06-16,74.0
2019-06-23,72.0
2019-06-30,69.0
2019-07-07,69.0
2019-07-14,76.0
2019-07-21,76.0
2019-07-28,75.0
2019-08-04,73.0
2019-08-11,66.0
2019-08-18,77.0
2019-08-25,78.0
2019-09-01,72.0
2019-09-08,73.0
2019-09-15,77.0
2019-09-22,72.0
2019-09-29,90.0
2019-10-06,79.0
2019-10-13,85.0
2019-10-20,80.0
2019-10-27,76.0
2019-11-03,87.0
2019-11-10,88.0
2019-11-17,98.0
2019-11-24,83.0
2019-12-01,76.0
2019-12-08,76.0
2019-12-15,78.0
2019-12-22,89.0
2019-12-29,83.0
2020-01-05,80.75541179397861
2020-01-12,77.80094550883305
2020-01-19,85.67952226922121
2020-01-26,83.70987807912417
2020-02-02,80.75541179397861
2020-02-09,87.64916645931824
2020-02-16,74.84647922368748
2020-02-23,74.84647922368748
2020-03-01,72.87683503359045
2020-03-08,67.95272455834785
2020-03-15,64.9982582732023
2020-03-22,49.24110475242598
2020-03-29,48.25628265737746
2020-04-05,44.31699427718338
2020-04-12,39.39288380194078
2020-04-19,41.362527992037826
2020-04-26,42.34735008708634
2020-05-03,46.28663846728042
2020-05-10,49.24110475242598
2020-05-17,56.13485941776562
2020-05-24,59.089325702911175
2020-05-31,62.04379198805673
2020-06-07,63.02861408310525
2020-06-14,64.9982582732023
2020-06-21,66.96790246329934
2020-06-28,70.90719084349341
2020-07-05,69.9223687484449
2020-07-12,71.89201293854192
2020-07-19,77.80094550883305
2020-07-26,74.84647922368748
2020-08-02,76.81612341378452
2020-08-09,75.83130131873601
2020-08-16,74.84647922368748
2020-08-23,73.86165712863897
2020-08-30,75.83130131873601
2020-09-06,75.83130131873601
2020-09-13,76.81612341378452
2020-09-20,74.84647922368748
2020-09-27,75.83130131873601
2020-10-04,84.69470017417268
2020-10-11,87.64916645931824
2020-10-18,84.69470017417268
2020-10-25,81.74023388902712
2020-11-01,75.83130131873601
2020-11-08,74.84647922368748
2020-11-15,74.84647922368748
2020-11-22,71.89201293854192
2020-11-29,74.84647922368748
2020-12-06,76.81612341378452
2020-12-13,75.83130131873601
2020-12-20,81.74023388902712
2020-12-27,76.81612341378452
2021-01-03,81.74023388902712
2021-01-10,71.89201293854192
2021-01-17,75.83130131873601
2021-01-24,71.89201293854192
2021-01-31,71.89201293854192
2021-02-07,72.87683503359045
2021-02-14,72.87683503359045
2021-02-21,71.89201293854192
2021-02-28,70.90719084349341
2021-03-07,71.89201293854192
2021-03-14,71.89201293854192
2021-03-21,70.90719084349341
2021-03-28,70.90719084349341
2021-04-04,69.9223687484449
2021-04-11,63.02861408310525
2021-04-18,63.02861408310525
2021-04-25,61.05896989300821
2021-05-02,63.02861408310525
2021-05-09,67.95272455834785
2021-05-16,66.96790246329934
2021-05-23,67.95272455834785
2021-05-30,68.93754665339637
2021-06-06,73.86165712863897
2021-06-13,69.9223687484449
2021-06-20,72.87683503359045
2021-06-27,71.89201293854192
2021-07-04,77.80094550883305
2021-07-11,75.83130131873601
2021-07-18,86.66434436426972
2021-07-25,78.78576760388157
2021-08-01,77.80094550883305
2021-08-08,88.63398855436677
2021-08-15,86.66434436426972
2021-08-22,80.75541179397861
2021-08-29,77.80094550883305
2021-09-05,79.77058969893008
2021-09-12,79.77058969893008
2021-09-19,74.84647922368748
2021-09-26,71.89201293854192
2021-10-03,81.74023388902712
2021-10-10,70.90719084349341
2021-10-17,74.84647922368748
2021-10-24,70.90719084349341
2021-10-31,62.04379198805673
2021-11-07,69.9223687484449
2021-11-14,69.9223687484449
2021-11-21,70.90719084349341
2021-11-28,67.95272455834785
2021-12-05,73.86165712863897
2021-12-12,75.83130131873601
2021-12-19,70.90719084349341
2021-12-26,73.86165712863897
2022-01-02,72.87683503359045
2022-01-09,69.9223687484449
2022-01-16,67.95272455834785
2022-01-23,70.90719084349341
2022-01-30,74.84647922368748
2022-02-06,68.93754665339637
2022-02-13,71.89201293854192
2022-02-20,73.86165712863897
2022-02-27,73.86165712863897
2022-03-06,75.83130131873601
2022-03-13,73.86165712863897
2022-03-20,78.78576760388157
2022-03-27,76.81612341378452
2022-04-03,78.78576760388157
2022-04-10,77.80094550883305
2022-04-17,77.80094550883305
2022-04-24,78.78576760388157
2022-05-01,82.72505598407565
2022-05-08,74.84647922368748
2022-05-15,75.83130131873601
2022-05-22,73.86165712863897
2022-05-29,76.81612341378452
2022-06-05,77.80094550883305
2022-06-12,80.75541179397861
2022-06-19,78.78576760388157
2022-06-26,78.78576760388157
2022-07-03,87.64916645931824
2022-07-10,83.70987807912417
2022-07-17,85.67952226922121
2022-07-24,84.69470017417268
2022-07-31,86.66434436426972
2022-08-07,80.75541179397861
2022-08-14,83.70987807912417
2022-08-21,87.64916645931824
2022-08-28,80.75541179397861
2022-09-04,79.77058969893008
2022-09-11,86.66434436426972
2022-09-18,87.64916645931824
2022-09-25,91.58845483951232
2022-10-02,91.58845483951232
2022-10-09,98.48220950485197
2022-10-16,89.61881064941528
2022-10-23,80.75541179397861
2022-10-30,87.64916645931824
2022-11-06,86.66434436426972
2022-11-13,91.58845483951232
2022-11-20,85.67952226922121
2022-11-27,83.70987807912417
2022-12-04,86.66434436426972
2022-12-11,90.6036327444638
2022-12-18,92.57327693456084
2022-12-25,96.51256531475492
2023-01-01,92.57327693456084
2023-01-08,88.63398855436677
2023-01-15,89.61881064941528
2023-01-22,83.70987807912417
2023-01-29,87.64916645931824
2023-02-05,88.63398855436677
2023-02-12,82.72505598407565
2023-02-19,80.75541179397861
2023-02-26,80.75541179397861
2023-03-05,75.83130131873601
2023-03-12,81.74023388902712
2023-03-19,77.80094550883305
2023-03-26,79.77058969893008
2023-04-02,77.80094550883305
2023-04-09,76.81612341378452
2023-04-16,76.81612341378452
2023-04-23,77.80094550883305
2023-04-30,78.78576760388157
2023-05-07,75.83130131873601
2023-05-14,74.84647922368748
2023-05-21,72.87683503359045
2023-05-28,77.80094550883305
2023-06-04,79.77058969893008
2023-06-11,84.69470017417268
2023-06-18,79.77058969893008
2023-06-25,80.75541179397861
2023-07-02,81.74023388902712
2023-07-09,79.77058969893008
2023-07-16,80.75541179397861
2023-07-23,78.78576760388157
2023-07-30,81.74023388902712
2023-08-06,76.81612341378452
2023-08-13,81.74023388902712
2023-08-20,79.77058969893008
2023-08-27,73.86165712863897
2023-09-03,74.84647922368748
2023-09-10,75.83130131873601
2023-09-17,75.83130131873601
2023-09-24,80.75541179397861
2023-10-01,79.77058969893008
2023-10-08,79.77058969893008
2023-10-15,75.83130131873601
2023-10-22,67.95272455834785
2023-10-29,72.87683503359045
2023-11-05,71.89201293854192
2023-11-12,64.9982582732023
2023-11-19,70.90719084349341
2023-11-26,71.89201293854192
2023-12-03,72.87683503359045
2023-12-10,75.83130131873601
2023-12-17,76.81612341378452
2023-12-24,79.77058969893008
2023-12-31,86.66434436426972
2024-01-07,77.4280221498116
2024-01-14,77.4280221498116
2024-01-21,74.66273564446118
2024-01-28,77.4280221498116
2024-02-04,76.50625998136145
2024-02-11,75.58449781291132
2024-02-18,76.50625998136145
2024-02-25,72.8192113075609
2024-03-03,70.97568697066063
2024-03-10,75.58449781291132
2024-03-17,73.74097347601105
2024-03-24,68.21040046531022
2024-03-31,69.13216263376036
2024-04-07,67.28863829686007
2024-04-14,68.21040046531022
2024-04-21,64.52335179150967
2024-04-28,69.13216263376036
2024-05-05,69.13216263376036
2024-05-12,69.13216263376036
2024-05-19,71.89744913911076
2024-05-26,75.58449781291132
2024-06-02,69.13216263376036
2024-06-09,71.89744913911076
2024-06-16,76.50625998136145
2024-06-23,70.97568697066063
2024-06-30,73.74097347601105
2024-07-07,70.05392480221049
2024-07-14,71.89744913911076
2024-07-21,74.66273564446118
2024-07-28,77.4280221498116
2024-08-04,78.34978431826173
2024-08-11,77.4280221498116
2024-08-18,76.50625998136145
2024-08-25,77.4280221498116
2024-09-01,70.97568697066063
2024-09-08,77.4280221498116
2024-09-15,74.66273564446118
2024-09-22,78.34978431826173
2024-09-29,75.58449781291132
2024-10-06,70.05392480221049
2024-10-13,75.58449781291132
2024-10-20,74.66273564446118
2024-10-27,65.4451139599598
2024-11-03,70.05392480221049
2024-11-10,70.05392480221049
2024-11-17,72.8192113075609
2024-11-24,72.8192113075609
2024-12-01,72.8192113075609
2024-12-08,75.58449781291132
2024-12-15,73.74097347601105
2024-12-22,82.03683299206229
2024-12-29,81.11507082361214
2025-01-05,72.8192113075609
2025-01-12,69.13216263376036
2025-01-19,74.66273564446118
2025-01-26,75.58449781291132
2025-02-02,79.27154648671187
2025-02-09,71.89744913911076
2025-02-16,73.74097347601105
2025-02-23,71.89744913911076
2025-03-02,76.50625998136145
2025-03-09,70.05392480221049
2025-03-16,74.66273564446118
2025-03-23,71.89744913911076
2025-03-30,70.05392480221049
2025-04-06,70.05392480221049
2025-04-13,72.8192113075609
2025-04-20,71.89744913911076
2025-04-27,74.66273564446118
2025-05-04,67.28863829686007
2025-05-11,71.89744913911076
2025-05-18,75.58449781291132
2025-05-25,76.50625998136145
2025-06-01,70.97568697066063
2025-06-08,79.27154648671187
2025-06-15,77.4280221498116
2025-06-22,77.4280221498116
2025-06-29,77.4280221498116
2025-07-06,80.19330865516201
2025-07-13,86.64564383431298
2025-07-20,77.4280221498116
2025-07-27,81.11507082361214
2025-08-03,81.11507082361214
2025-08-10,78.34978431826173
2025-08-17,82.95859516051242
2025-08-24,76.50625998136145
2025-08-31,78.34978431826173
2025-09-07,81.11507082361214
2025-09-14,79.27154648671187
2025-09-21,83.88035732896256
2025-09-28,72.8192113075609
2025-10-05,84.8021194974127
2025-10-12,76.50625998136145
2025-10-19,65.4451139599598
2025-10-26,74.66273564446118
2025-11-02,76.50625998136145
2025-11-09,78.34978431826173
2025-11-16,75.58449781291132
2025-11-23,74.66273564446118
2025-11-30,74.66273564446118
2025-12-07,75.58449781291132
2025-12-14,81.11507082361214
2025-12-21,81.11507082361214
2025-12-28,77.4280221498116
2026-01-04,77.4280221498116
