,Aquaculture
2023-04-02,42.0
2023-04-09,47.0
2023-04-16,41.0
2023-04-23,41.0
2023-04-30,41.0
2023-05-07,38.0
2023-05-14,40.0
2023-05-21,40.0
2023-05-28,40.0
2023-06-04,41.0
2023-06-11,41.0
2023-06-18,41.0
2023-06-25,41.0
2023-07-02,45.0
2023-07-09,42.0
2023-07-16,46.0
2023-07-23,52.0
2023-07-30,47.0
2023-08-06,47.0
2023-08-13,44.0
2023-08-20,43.0
2023-08-27,43.0
2023-09-03,40.0
2023-09-10,42.0
2023-09-17,46.0
2023-09-24,42.0
2023-10-01,39.0
2023-10-08,41.0
2023-10-15,39.0
2023-10-22,40.0
2023-10-29,38.0
2023-11-05,36.0
2023-11-12,39.0
2023-11-19,42.0
2023-11-26,50.0
2023-12-03,41.0
2023-12-10,46.0
2023-12-17,63.0
2023-12-24,71.0
2023-12-31,68.0
2024-01-07,59.64987584249734
2024-01-14,78.66867683575735
2024-01-21,50.14047534586733
2024-01-28,45.81802057467187
2024-02-04,44.953529620432775
2024-02-11,44.08903866619368
2024-02-18,42.3600567577155
2024-02-25,42.3600567577155
2024-03-03,39.76658389499823
2024-03-10,43.22454771195459
2024-03-17,40.631074849237315
2024-03-24,34.57963816956367
2024-03-31,36.308620078041855
2024-04-07,36.308620078041855
2024-04-14,35.44412912380277
2024-04-21,36.308620078041855
2024-04-28,37.17311103228095
2024-05-05,34.57963816956367
2024-05-12,33.715147215324585
2024-05-19,37.17311103228095
2024-05-26,38.90209294075913
2024-06-02,36.308620078041855
2024-06-09,38.03760198652004
2024-06-16,36.308620078041855
2024-06-23,38.03760198652004
2024-06-30,37.17311103228095
2024-07-07,40.631074849237315
2024-07-14,42.3600567577155
2024-07-21,44.953529620432775
2024-07-28,42.3600567577155
2024-08-04,37.17311103228095
2024-08-11,39.76658389499823
2024-08-18,38.90209294075913
2024-08-25,40.631074849237315
2024-09-01,38.90209294075913
2024-09-08,38.03760198652004
2024-09-15,38.03760198652004
2024-09-22,38.03760198652004
2024-09-29,32.85065626108549
2024-10-06,36.308620078041855
2024-10-13,33.715147215324585
2024-10-20,34.57963816956367
2024-10-27,31.9861653068464
2024-11-03,33.715147215324585
2024-11-10,38.03760198652004
2024-11-17,36.308620078041855
2024-11-24,36.308620078041855
2024-12-01,35.44412912380277
2024-12-08,43.22454771195459
2024-12-15,54.46293011706278
2024-12-22,55.32742107130188
2024-12-29,53.598439162823695
2025-01-05,50.14047534586733
2025-01-12,61.37885775097552
2025-01-19,39.76658389499823
2025-01-26,37.17311103228095
2025-02-02,35.44412912380277
2025-02-09,37.17311103228095
2025-02-16,35.44412912380277
2025-02-23,36.308620078041855
2025-03-02,34.57963816956367
2025-03-09,31.121674352607307
2025-03-16,38.90209294075913
2025-03-23,33.715147215324585
2025-03-30,30.257183398368213
2025-04-06,32.85065626108549
2025-04-13,33.715147215324585
2025-04-20,31.9861653068464
2025-04-27,33.715147215324585
2025-05-04,31.121674352607307
2025-05-11,32.85065626108549
2025-05-18,30.257183398368213
2025-05-25,31.121674352607307
2025-06-01,31.121674352607307
2025-06-08,31.9861653068464
2025-06-15,36.308620078041855
2025-06-22,34.57963816956367
2025-06-29,34.57963816956367
2025-07-06,34.57963816956367
2025-07-13,36.308620078041855
2025-07-20,32.85065626108549
2025-07-27,34.57963816956367
2025-08-03,32.85065626108549
2025-08-10,31.121674352607307
2025-08-17,32.85065626108549
2025-08-24,34.57963816956367
2025-08-31,32.85065626108549
2025-09-07,33.715147215324585
2025-09-14,35.44412912380277
2025-09-21,31.9861653068464
2025-09-28,29.39269244412912
2025-10-05,29.39269244412912
2025-10-12,31.9861653068464
2025-10-19,30.257183398368213
2025-10-26,31.121674352607307
2025-11-02,31.9861653068464
2025-11-09,32.85065626108549
2025-11-16,34.57963816956367
2025-11-23,31.9861653068464
2025-11-30,38.90209294075913
2025-12-07,34.57963816956367
2025-12-14,49.275984391628235
2025-12-21,56.19191202554097
2025-12-28,54.46293011706278
2026-01-04,50.14047534586733
