,Economy News
2017-09-24,16.0
2017-10-01,14.0
2017-10-08,17.0
2017-10-15,16.0
2017-10-22,18.0
2017-10-29,15.0
2017-11-05,17.0
2017-11-12,21.0
2017-11-19,15.0
2017-11-26,15.0
2017-12-03,11.0
2017-12-10,18.0
2017-12-17,20.0
2017-12-24,13.0
2017-12-31,12.0
2018-01-07,18.0
2018-01-14,22.0
2018-01-21,15.0
2018-01-28,13.0
2018-02-04,17.0
2018-02-11,25.0
2018-02-18,21.0
2018-02-25,13.0
2018-03-04,48.0
2018-03-11,21.0
2018-03-18,11.0
2018-03-25,18.0
2018-04-01,17.0
2018-04-08,13.0
2018-04-15,16.0
2018-04-22,11.0
2018-04-29,12.0
2018-05-06,19.0
2018-05-13,18.0
2018-05-20,18.0
2018-05-27,12.0
2018-06-03,13.0
2018-06-10,12.0
2018-06-17,11.0
2018-06-24,16.0
2018-07-01,20.0
2018-07-08,18.0
2018-07-15,16.0
2018-07-22,21.0
2018-07-29,23.0
2018-08-05,18.0
2018-08-12,20.0
2018-08-19,12.0
2018-08-26,17.0
2018-09-02,18.0
2018-09-09,11.0
2018-09-16,22.0
2018-09-23,15.0
2018-09-30,22.0
2018-10-07,16.0
2018-10-14,19.0
2018-10-21,23.0
2018-10-28,43.0
2018-11-04,27.0
2018-11-11,36.0
2018-11-18,21.0
2018-11-25,17.0
2018-12-02,19.0
2018-12-09,19.0
2018-12-16,17.0
2018-12-23,20.0
2018-12-30,21.0
2019-01-06,20.0
2019-01-13,15.0
2019-01-20,22.0
2019-01-27,16.0
2019-02-03,18.0
2019-02-10,18.0
2019-02-17,19.0
2019-02-24,16.0
2019-03-03,16.0
2019-03-10,15.0
2019-03-17,21.0
2019-03-24,19.0
2019-03-31,17.0
2019-04-07,14.0
2019-04-14,13.0
2019-04-21,100.0
2019-04-28,27.0
2019-05-05,23.0
2019-05-12,34.0
2019-05-19,16.0
2019-05-26,24.0
2019-06-02,13.0
2019-06-09,17.0
2019-06-16,22.0
2019-06-23,21.0
2019-06-30,17.0
2019-07-07,18.0
2019-07-14,19.0
2019-07-21,22.0
2019-07-28,16.0
2019-08-04,23.0
2019-08-11,23.0
2019-08-18,20.0
2019-08-25,20.0
2019-09-01,16.0
2019-09-08,19.0
2019-09-15,18.0
2019-09-22,24.0
2019-09-29,20.0
2019-10-06,13.0
2019-10-13,15.0
2019-10-20,13.0
2019-10-27,20.0
2019-11-03,14.0
2019-11-10,19.0
2019-11-17,14.0
2019-11-24,11.0
2019-12-01,16.0
2019-12-08,18.0
2019-12-15,20.0
2019-12-22,18.0
2019-12-29,23.0
2020-01-05,25.0
2020-01-12,15.0
2020-01-19,17.0
2020-01-26,24.0
2020-02-02,21.0
2020-02-09,25.0
2020-02-16,25.0
2020-02-23,23.0
2020-03-01,22.0
2020-03-08,47.0
2020-03-15,60.0
2020-03-22,50.0
2020-03-29,44.0
2020-04-05,41.0
2020-04-12,33.0
2020-04-19,33.0
2020-04-26,29.0
2020-05-03,33.0
2020-05-10,18.0
2020-05-17,26.0
2020-05-24,19.0
2020-05-31,34.0
2020-06-07,18.0
2020-06-14,18.0
2020-06-21,22.0
2020-06-28,18.0
2020-07-05,24.0
2020-07-12,22.0
2020-07-19,16.0
2020-07-26,17.0
2020-08-02,17.0
2020-08-09,21.0
2020-08-16,21.0
2020-08-23,25.0
2020-08-30,19.0
2020-09-06,21.0
2020-09-13,21.0
2020-09-20,21.0
2020-09-27,20.0
2020-10-04,21.0
2020-10-11,17.0
2020-10-18,19.0
2020-10-25,17.0
2020-11-01,20.0
2020-11-08,21.0
2020-11-15,18.0
2020-11-22,17.0
2020-11-29,23.0
2020-12-06,14.0
2020-12-13,21.0
2020-12-20,15.0
2020-12-27,15.0
2021-01-03,15.0
2021-01-10,26.0
2021-01-17,16.0
2021-01-24,17.0
2021-01-31,19.0
2021-02-07,17.0
2021-02-14,14.0
2021-02-21,17.0
2021-02-28,15.0
2021-03-07,14.0
2021-03-14,19.0
2021-03-21,18.0
2021-03-28,15.0
2021-04-04,16.0
2021-04-11,12.0
2021-04-18,17.0
2021-04-25,23.0
2021-05-02,21.0
2021-05-09,27.0
2021-05-16,21.0
2021-05-23,21.0
2021-05-30,18.0
2021-06-06,18.0
2021-06-13,24.0
2021-06-20,17.0
2021-06-27,26.0
2021-07-04,22.0
2021-07-11,21.0
2021-07-18,19.0
2021-07-25,24.0
2021-08-01,18.0
2021-08-08,21.0
2021-08-15,25.0
2021-08-22,20.0
2021-08-29,24.0
2021-09-05,18.0
2021-09-12,19.0
2021-09-19,16.0
2021-09-26,22.0
2021-10-03,16.0
2021-10-10,21.0
2021-10-17,20.0
2021-10-24,15.0
2021-10-31,17.0
2021-11-07,17.0
2021-11-14,18.0
2021-11-21,15.0
2021-11-28,15.0
2021-12-05,14.0
2021-12-12,18.0
2021-12-19,25.0
2021-12-26,18.0
2022-01-02,35.0
2022-01-09,28.0
2022-01-16,33.0
2022-01-23,32.0
2022-01-30,34.0
2022-02-06,36.0
2022-02-13,32.0
2022-02-20,37.0
2022-02-27,45.0
2022-03-06,48.0
2022-03-13,49.0
2022-03-20,51.0
2022-03-27,62.0
2022-04-03,64.0
2022-04-10,40.0
2022-04-17,68.0
2022-04-24,58.0
2022-05-01,56.0
2022-05-08,59.0
2022-05-15,58.0
2022-05-22,61.0
2022-05-29,43.0
2022-06-05,51.0
2022-06-12,49.0
2022-06-19,52.0
2022-06-26,56.0
2022-07-03,55.0
2022-07-10,63.0
2022-07-17,49.0
2022-07-24,54.0
2022-07-31,49.0
2022-08-07,38.0
2022-08-14,38.0
2022-08-21,38.0
2022-08-28,45.0
2022-09-04,42.0
2022-09-11,44.0
2022-09-18,43.0
2022-09-25,49.0
2022-10-02,34.0
2022-10-09,51.0
2022-10-16,37.0
2022-10-23,34.0
2022-10-30,40.0
2022-11-06,34.0
2022-11-13,41.0
2022-11-20,39.0
2022-11-27,35.0
2022-12-04,35.0
2022-12-11,28.0
2022-12-18,31.0
2022-12-25,36.0
2023-01-01,29.0
2023-01-08,29.0
2023-01-15,38.0
2023-01-22,35.0
2023-01-29,35.0
2023-02-05,37.0
2023-02-12,32.0
2023-02-19,34.0
2023-02-26,44.0
2023-03-05,38.0
2023-03-12,33.0
2023-03-19,31.0
2023-03-26,30.0
2023-04-02,22.0
2023-04-09,25.0
2023-04-16,25.0
2023-04-23,29.0
2023-04-30,29.0
2023-05-07,29.0
2023-05-14,33.0
2023-05-21,38.0
2023-05-28,56.0
2023-06-04,34.0
2023-06-11,30.0
2023-06-18,31.0
2023-06-25,32.0
2023-07-02,24.0
2023-07-09,31.0
2023-07-16,27.0
2023-07-23,33.0
2023-07-30,26.0
2023-08-06,32.0
2023-08-13,33.0
2023-08-20,22.0
2023-08-27,29.0
2023-09-03,22.0
2023-09-10,24.0
2023-09-17,35.0
2023-09-24,25.0
2023-10-01,24.0
2023-10-08,28.0
2023-10-15,26.0
2023-10-22,28.0
2023-10-29,23.0
2023-11-05,25.0
2023-11-12,29.0
2023-11-19,22.0
2023-11-26,27.0
2023-12-03,23.0
2023-12-10,23.0
2023-12-17,30.0
2023-12-24,25.0
2023-12-31,31.0
2024-01-07,38.23341610500177
2024-01-14,26.988293721177723
2024-01-21,25.301525363604114
2024-01-28,25.301525363604114
2024-02-04,29.799574317133736
2024-02-11,26.42603760198652
2024-02-18,24.739269244412913
2024-02-25,24.17701312522171
2024-03-03,22.4902447676481
2024-03-10,25.863781482795318
2024-03-17,27.550549840368927
2024-03-24,29.237318197942532
2024-03-31,24.17701312522171
2024-04-07,15.743171337353672
2024-04-14,28.112805959560127
2024-04-21,25.863781482795318
2024-04-28,26.42603760198652
2024-05-05,28.112805959560127
2024-05-12,30.92408655551614
2024-05-19,24.17701312522171
2024-05-26,23.61475700603051
2024-06-02,27.550549840368927
2024-06-09,24.17701312522171
2024-06-16,26.988293721177723
2024-06-23,24.17701312522171
2024-06-30,25.863781482795318
2024-07-07,27.550549840368927
2024-07-14,27.550549840368927
2024-07-21,27.550549840368927
2024-07-28,23.61475700603051
2024-08-04,41.044696700957786
2024-08-11,32.610854913089746
2024-08-18,19.116708052500886
2024-08-25,27.550549840368927
2024-09-01,28.67506207875133
2024-09-08,29.237318197942532
2024-09-15,29.799574317133736
2024-09-22,21.9279886484569
2024-09-29,29.237318197942532
2024-10-06,24.17701312522171
2024-10-13,24.739269244412913
2024-10-20,25.863781482795318
2024-10-27,28.67506207875133
2024-11-03,22.4902447676481
2024-11-10,19.67896417169209
2024-11-17,20.24122029088329
2024-11-24,28.112805959560127
2024-12-01,25.863781482795318
2024-12-08,23.61475700603051
2024-12-15,22.4902447676481
2024-12-22,26.42603760198652
2024-12-29,24.17701312522171
2025-01-05,26.42603760198652
2025-01-12,29.237318197942532
2025-01-19,25.863781482795318
2025-01-26,22.4902447676481
2025-02-02,23.052500886839304
2025-02-09,19.116708052500886
2025-02-16,24.739269244412913
2025-02-23,22.4902447676481
2025-03-02,30.92408655551614
2025-03-09,33.735367151472154
2025-03-16,25.301525363604114
2025-03-23,16.305427456544873
2025-03-30,28.67506207875133
2025-04-06,23.052500886839304
2025-04-13,25.301525363604114
2025-04-20,25.863781482795318
2025-04-27,20.803476410074495
2025-05-04,26.988293721177723
2025-05-11,24.17701312522171
2025-05-18,18.554451933309686
2025-05-25,24.17701312522171
2025-06-01,24.739269244412913
2025-06-08,24.739269244412913
2025-06-15,30.92408655551614
2025-06-22,29.799574317133736
2025-06-29,16.867683575736077
2025-07-06,17.429939694927278
2025-07-13,20.24122029088329
2025-07-20,21.365732529265696
2025-07-27,26.988293721177723
2025-08-03,19.116708052500886
2025-08-10,25.301525363604114
2025-08-17,17.99219581411848
2025-08-24,22.4902447676481
2025-08-31,22.4902447676481
2025-09-07,24.17701312522171
2025-09-14,23.052500886839304
2025-09-21,17.429939694927278
2025-09-28,18.554451933309686
2025-10-05,19.67896417169209
2025-10-12,20.803476410074495
2025-10-19,22.4902447676481
2025-10-26,20.803476410074495
2025-11-02,24.17701312522171
2025-11-09,20.24122029088329
2025-11-16,24.739269244412913
2025-11-23,36.54664774742817
2025-11-30,31.486342674707345
2025-12-07,24.739269244412913
2025-12-14,32.610854913089746
2025-12-21,22.4902447676481
2025-12-28,22.4902447676481
