,Vehicle Brands
2018-08-12,58.0
2018-08-19,60.0
2018-08-26,58.0
2018-09-02,55.0
2018-09-09,56.0
2018-09-16,55.0
2018-09-23,51.0
2018-09-30,51.0
2018-10-07,58.0
2018-10-14,56.0
2018-10-21,54.0
2018-10-28,51.0
2018-11-04,53.0
2018-11-11,48.0
2018-11-18,54.0
2018-11-25,47.0
2018-12-02,52.0
2018-12-09,54.0
2018-12-16,52.0
2018-12-23,57.0
2018-12-30,53.0
2019-01-06,54.0
2019-01-13,53.0
2019-01-20,55.0
2019-01-27,55.0
2019-02-03,52.0
2019-02-10,59.0
2019-02-17,58.0
2019-02-24,51.0
2019-03-03,55.0
2019-03-10,52.0
2019-03-17,52.0
2019-03-24,59.0
2019-03-31,60.0
2019-04-07,45.0
2019-04-14,48.0
2019-04-21,46.0
2019-04-28,51.0
2019-05-05,51.0
2019-05-12,43.0
2019-05-19,52.0
2019-05-26,53.0
2019-06-02,53.0
2019-06-09,54.0
2019-06-16,50.0
2019-06-23,53.0
2019-06-30,56.0
2019-07-07,55.0
2019-07-14,51.0
2019-07-21,58.0
2019-07-28,59.0
2019-08-04,60.0
2019-08-11,60.0
2019-08-18,67.0
2019-08-25,72.0
2019-09-01,88.0
2019-09-08,98.0
2019-09-15,100.0
2019-09-22,93.0
2019-09-29,53.0
2019-10-06,51.0
2019-10-13,55.0
2019-10-20,57.0
2019-10-27,55.0
2019-11-03,52.0
2019-11-10,52.0
2019-11-17,53.0
2019-11-24,55.0
2019-12-01,56.0
2019-12-08,54.0
2019-12-15,60.0
2019-12-22,61.0
2019-12-29,61.0
2020-01-05,59.0
2020-01-12,64.0
2020-01-19,64.0
2020-01-26,60.0
2020-02-02,65.0
2020-02-09,62.0
2020-02-16,62.0
2020-02-23,62.0
2020-03-01,60.0
2020-03-08,54.0
2020-03-15,47.0
2020-03-22,42.0
2020-03-29,38.0
2020-04-05,38.0
2020-04-12,36.0
2020-04-19,42.0
2020-04-26,42.0
2020-05-03,39.0
2020-05-10,48.0
2020-05-17,53.0
2020-05-24,56.0
2020-05-31,61.0
2020-06-07,66.0
2020-06-14,68.0
2020-06-21,69.0
2020-06-28,71.0
2020-07-05,67.0
2020-07-12,72.0
2020-07-19,76.0
2020-07-26,76.0
2020-08-02,73.0
2020-08-09,72.0
2020-08-16,72.0
2020-08-23,73.0
2020-08-30,73.0
2020-09-06,75.0
2020-09-13,71.0
2020-09-20,68.0
2020-09-27,67.0
2020-10-04,66.0
2020-10-11,72.0
2020-10-18,71.0
2020-10-25,67.0
2020-11-01,54.0
2020-11-08,60.0
2020-11-15,65.0
2020-11-22,64.0
2020-11-29,59.0
2020-12-06,67.0
2020-12-13,67.0
2020-12-20,70.0
2020-12-27,72.0
2021-01-03,71.0
2021-01-10,69.0
2021-01-17,66.0
2021-01-24,68.0
2021-01-31,70.0
2021-02-07,70.0
2021-02-14,70.0
2021-02-21,71.0
2021-02-28,68.0
2021-03-07,68.0
2021-03-14,70.0
2021-03-21,69.0
2021-03-28,73.0
2021-04-04,66.0
2021-04-11,56.0
2021-04-18,65.0
2021-04-25,69.0
2021-05-02,75.0
2021-05-09,75.0
2021-05-16,68.0
2021-05-23,50.0
2021-05-30,56.0
2021-06-06,57.0
2021-06-13,60.0
2021-06-20,64.0
2021-06-27,71.0
2021-07-04,71.0
2021-07-11,78.0
2021-07-18,78.0
2021-07-25,76.0
2021-08-01,75.0
2021-08-08,77.0
2021-08-15,71.0
2021-08-22,65.0
2021-08-29,66.0
2021-09-05,59.0
2021-09-12,61.0
2021-09-19,61.0
2021-09-26,61.0
2021-10-03,64.0
2021-10-10,54.0
2021-10-17,53.0
2021-10-24,49.0
2021-10-31,57.0
2021-11-07,60.0
2021-11-14,60.0
2021-11-21,59.0
2021-11-28,60.0
2021-12-05,57.0
2021-12-12,61.0
2021-12-19,61.0
2021-12-26,69.0
2022-01-02,82.0
2022-01-09,79.0
2022-01-16,71.0
2022-01-23,80.0
2022-01-30,80.0
2022-02-06,81.0
2022-02-13,85.0
2022-02-20,81.0
2022-02-27,78.0
2022-03-06,79.0
2022-03-13,76.0
2022-03-20,76.0
2022-03-27,69.0
2022-04-03,66.0
2022-04-10,66.0
2022-04-17,72.0
2022-04-24,77.0
2022-05-01,74.0
2022-05-08,63.0
2022-05-15,68.0
2022-05-22,74.0
2022-05-29,74.0
2022-06-05,62.0
2022-06-12,64.0
2022-06-19,69.0
2022-06-26,63.0
2022-07-03,63.0
2022-07-10,59.0
2022-07-17,65.0
2022-07-24,68.0
2022-07-31,68.0
2022-08-07,72.0
2022-08-14,71.0
2022-08-21,67.0
2022-08-28,67.0
2022-09-04,67.0
2022-09-11,67.0
2022-09-18,71.0
2022-09-25,69.0
2022-10-02,68.0
2022-10-09,67.0
2022-10-16,68.0
2022-10-23,67.0
2022-10-30,68.0
2022-11-06,63.0
2022-11-13,69.0
2022-11-20,82.0
2022-11-27,65.0
2022-12-04,70.0
2022-12-11,71.0
2022-12-18,72.0
2022-12-25,75.0
2023-01-01,69.0
2023-01-08,68.0
2023-01-15,68.0
2023-01-22,70.0
2023-01-29,72.0
2023-02-05,71.0
2023-02-12,72.0
2023-02-19,73.0
2023-02-26,72.0
2023-03-05,71.0
2023-03-12,73.0
2023-03-19,73.0
2023-03-26,70.0
2023-04-02,72.0
2023-04-09,66.0
2023-04-16,68.0
2023-04-23,76.0
2023-04-30,78.0
2023-05-07,73.0
2023-05-14,80.0
2023-05-21,78.0
2023-05-28,80.0
2023-06-04,81.0
2023-06-11,79.0
2023-06-18,81.0
2023-06-25,83.0
2023-07-02,80.0
2023-07-09,83.0
2023-07-16,82.0
2023-07-23,82.0
2023-07-30,82.0
2023-08-06,80.0
2023-08-13,80.0
2023-08-20,77.0
2023-08-27,80.0
2023-09-03,81.0
2023-09-10,76.0
2023-09-17,80.0
2023-09-24,78.0
2023-10-01,78.0
2023-10-08,73.0
2023-10-15,73.0
2023-10-22,72.0
2023-10-29,69.0
2023-11-05,72.0
2023-11-12,76.0
2023-11-19,92.0
2023-11-26,99.0
2023-12-03,81.0
2023-12-10,82.0
2023-12-17,81.0
2023-12-24,85.0
2023-12-31,83.0
2024-01-07,81.24450867052023
2024-01-14,78.88959537572255
2024-01-21,81.24450867052023
2024-01-28,83.59942196531792
2024-02-04,82.42196531791907
2024-02-11,81.24450867052023
2024-02-18,81.24450867052023
2024-02-25,81.24450867052023
2024-03-03,77.7121387283237
2024-03-10,77.7121387283237
2024-03-17,78.88959537572255
2024-03-24,82.42196531791907
2024-03-31,81.24450867052023
2024-04-07,76.53468208092485
2024-04-14,73.00231213872833
2024-04-21,87.13179190751445
2024-04-28,77.7121387283237
2024-05-05,81.24450867052023
2024-05-12,82.42196531791907
2024-05-19,75.35722543352601
2024-05-26,77.7121387283237
2024-06-02,77.7121387283237
2024-06-09,83.59942196531792
2024-06-16,78.88959537572255
2024-06-23,81.24450867052023
2024-06-30,83.59942196531792
2024-07-07,80.06705202312139
2024-07-14,83.59942196531792
2024-07-21,74.17976878612717
2024-07-28,77.7121387283237
2024-08-04,75.35722543352601
2024-08-11,85.95433526011561
2024-08-18,82.42196531791907
2024-08-25,78.88959537572255
2024-09-01,77.7121387283237
2024-09-08,80.06705202312139
2024-09-15,74.17976878612717
2024-09-22,70.64739884393063
2024-09-29,80.06705202312139
2024-10-06,78.88959537572255
2024-10-13,73.00231213872833
2024-10-20,75.35722543352601
2024-10-27,77.7121387283237
2024-11-03,77.7121387283237
2024-11-10,70.64739884393063
2024-11-17,73.00231213872833
2024-11-24,80.06705202312139
2024-12-01,83.59942196531792
2024-12-08,77.7121387283237
2024-12-15,80.06705202312139
2024-12-22,82.42196531791907
2024-12-29,80.06705202312139
2025-01-05,74.17976878612717
2025-01-12,80.06705202312139
2025-01-19,77.7121387283237
2025-01-26,80.06705202312139
2025-02-02,87.13179190751445
2025-02-09,83.59942196531792
2025-02-16,80.06705202312139
2025-02-23,83.59942196531792
2025-03-02,82.42196531791907
2025-03-09,81.24450867052023
2025-03-16,83.59942196531792
2025-03-23,81.24450867052023
2025-03-30,115.3907514450867
2025-04-06,101.26127167630058
2025-04-13,82.42196531791907
2025-04-20,100.08381502890174
2025-04-27,105.97109826589595
2025-05-04,89.48670520231214
2025-05-11,95.37398843930636
2025-05-18,98.90635838150288
2025-05-25,104.7936416184971
2025-06-01,100.08381502890174
2025-06-08,102.43872832369942
2025-06-15,103.61618497109826
2025-06-22,102.43872832369942
2025-06-29,101.26127167630058
2025-07-06,117.74566473988439
2025-07-13,111.85838150289017
2025-07-20,110.68092485549133
2025-07-27,108.32601156069364
2025-08-03,104.7936416184971
2025-08-10,102.43872832369942
2025-08-17,98.90635838150288
2025-08-24,98.90635838150288
2025-08-31,91.84161849710982
2025-09-07,89.48670520231214
2025-09-14,88.3092485549133
2025-09-21,83.59942196531792
2025-09-28,82.42196531791907
2025-10-05,90.66416184971098
2025-10-12,83.59942196531792
2025-10-19,88.3092485549133
2025-10-26,84.77687861271676
2025-11-02,88.3092485549133
2025-11-09,89.48670520231214
2025-11-16,94.19653179190752
2025-11-23,84.77687861271676
2025-11-30,76.53468208092485
