,Newspapers
2018-08-26,15.0
2018-09-02,18.0
2018-09-09,15.0
2018-09-16,16.0
2018-09-23,15.0
2018-09-30,17.0
2018-10-07,16.0
2018-10-14,15.0
2018-10-21,19.0
2018-10-28,26.0
2018-11-04,22.0
2018-11-11,27.0
2018-11-18,19.0
2018-11-25,19.0
2018-12-02,21.0
2018-12-09,21.0
2018-12-16,20.0
2018-12-23,18.0
2018-12-30,17.0
2019-01-06,17.0
2019-01-13,16.0
2019-01-20,16.0
2019-01-27,15.0
2019-02-03,16.0
2019-02-10,18.0
2019-02-17,16.0
2019-02-24,18.0
2019-03-03,16.0
2019-03-10,16.0
2019-03-17,16.0
2019-03-24,15.0
2019-03-31,15.0
2019-04-07,13.0
2019-04-14,14.0
2019-04-21,100.0
2019-04-28,48.0
2019-05-05,39.0
2019-05-12,51.0
2019-05-19,28.0
2019-05-26,25.0
2019-06-02,26.0
2019-06-09,19.0
2019-06-16,20.0
2019-06-23,18.0
2019-06-30,17.0
2019-07-07,19.0
2019-07-14,19.0
2019-07-21,18.0
2019-07-28,19.0
2019-08-04,20.0
2019-08-11,18.0
2019-08-18,17.0
2019-08-25,16.0
2019-09-01,16.0
2019-09-08,15.0
2019-09-15,17.0
2019-09-22,17.0
2019-09-29,17.0
2019-10-06,18.0
2019-10-13,16.0
2019-10-20,17.0
2019-10-27,23.0
2019-11-03,16.0
2019-11-10,20.0
2019-11-17,24.0
2019-11-24,19.0
2019-12-01,19.0
2019-12-08,17.0
2019-12-15,17.0
2019-12-22,17.0
2019-12-29,18.0
2020-01-05,18.0
2020-01-12,15.0
2020-01-19,17.0
2020-01-26,18.0
2020-02-02,17.0
2020-02-09,17.0
2020-02-16,16.0
2020-02-23,17.0
2020-03-01,16.0
2020-03-08,21.0
2020-03-15,31.0
2020-03-22,31.0
2020-03-29,27.0
2020-04-05,26.0
2020-04-12,22.0
2020-04-19,25.0
2020-04-26,26.0
2020-05-03,21.0
2020-05-10,20.0
2020-05-17,19.0
2020-05-24,17.0
2020-05-31,18.0
2020-06-07,16.0
2020-06-14,16.0
2020-06-21,15.0
2020-06-28,15.0
2020-07-05,16.0
2020-07-12,22.0
2020-07-19,17.0
2020-07-26,17.0
2020-08-02,22.0
2020-08-09,19.0
2020-08-16,18.0
2020-08-23,16.0
2020-08-30,15.0
2020-09-06,16.0
2020-09-13,14.0
2020-09-20,16.0
2020-09-27,14.0
2020-10-04,28.0
2020-10-11,22.0
2020-10-18,23.0
2020-10-25,24.0
2020-11-01,22.0
2020-11-08,20.0
2020-11-15,18.0
2020-11-22,18.0
2020-11-29,19.0
2020-12-06,18.0
2020-12-13,18.0
2020-12-20,17.0
2020-12-27,15.0
2021-01-03,17.0
2021-01-10,16.0
2021-01-17,14.0
2021-01-24,13.0
2021-01-31,13.0
2021-02-07,13.0
2021-02-14,14.0
2021-02-21,13.0
2021-02-28,15.0
2021-03-07,13.0
2021-03-14,13.0
2021-03-21,13.0
2021-03-28,14.0
2021-04-04,13.0
2021-04-11,12.0
2021-04-18,15.0
2021-04-25,20.0
2021-05-02,21.0
2021-05-09,22.0
2021-05-16,19.0
2021-05-23,19.0
2021-05-30,19.0
2021-06-06,18.0
2021-06-13,17.0
2021-06-20,16.0
2021-06-27,15.0
2021-07-04,16.0
2021-07-11,14.0
2021-07-18,14.0
2021-07-25,14.0
2021-08-01,14.0
2021-08-08,19.0
2021-08-15,19.0
2021-08-22,18.0
2021-08-29,16.0
2021-09-05,15.0
2021-09-12,15.0
2021-09-19,13.0
2021-09-26,12.0
2021-10-03,13.0
2021-10-10,12.0
2021-10-17,11.0
2021-10-24,12.0
2021-10-31,12.0
2021-11-07,14.0
2021-11-14,13.0
2021-11-21,12.0
2021-11-28,12.0
2021-12-05,11.0
2021-12-12,12.0
2021-12-19,12.0
2021-12-26,12.0
2022-01-02,17.0
2022-01-09,15.0
2022-01-16,15.0
2022-01-23,15.0
2022-01-30,15.0
2022-02-06,15.0
2022-02-13,15.0
2022-02-20,17.0
2022-02-27,19.0
2022-03-06,18.0
2022-03-13,17.0
2022-03-20,19.0
2022-03-27,20.0
2022-04-03,26.0
2022-04-10,16.0
2022-04-17,22.0
2022-04-24,20.0
2022-05-01,19.0
2022-05-08,30.0
2022-05-15,21.0
2022-05-22,19.0
2022-05-29,18.0
2022-06-05,16.0
2022-06-12,16.0
2022-06-19,17.0
2022-06-26,19.0
2022-07-03,21.0
2022-07-10,25.0
2022-07-17,21.0
2022-07-24,17.0
2022-07-31,17.0
2022-08-07,14.0
2022-08-14,15.0
2022-08-21,14.0
2022-08-28,15.0
2022-09-04,13.0
2022-09-11,13.0
2022-09-18,14.0
2022-09-25,13.0
2022-10-02,12.0
2022-10-09,12.0
2022-10-16,13.0
2022-10-23,12.0
2022-10-30,12.0
2022-11-06,14.0
2022-11-13,14.0
2022-11-20,15.0
2022-11-27,13.0
2022-12-04,15.0
2022-12-11,14.0
2022-12-18,15.0
2022-12-25,13.0
2023-01-01,13.0
2023-01-08,13.0
2023-01-15,13.0
2023-01-22,14.0
2023-01-29,13.0
2023-02-05,13.0
2023-02-12,12.0
2023-02-19,13.0
2023-02-26,15.0
2023-03-05,16.0
2023-03-12,17.0
2023-03-19,14.0
2023-03-26,12.0
2023-04-02,11.0
2023-04-09,10.0
2023-04-16,11.0
2023-04-23,11.0
2023-04-30,11.0
2023-05-07,13.0
2023-05-14,13.0
2023-05-21,13.0
2023-05-28,14.0
2023-06-04,12.0
2023-06-11,12.0
2023-06-18,12.0
2023-06-25,11.0
2023-07-02,14.0
2023-07-09,16.0
2023-07-16,14.0
2023-07-23,12.0
2023-07-30,12.0
2023-08-06,12.0
2023-08-13,12.0
2023-08-20,11.0
2023-08-27,11.0
2023-09-03,13.0
2023-09-10,12.0
2023-09-17,12.0
2023-09-24,12.0
2023-10-01,12.0
2023-10-08,15.0
2023-10-15,16.0
2023-10-22,12.0
2023-10-29,12.0
2023-11-05,12.0
2023-11-12,13.0
2023-11-19,13.0
2023-11-26,12.0
2023-12-03,14.0
2023-12-10,12.0
2023-12-17,13.0
2023-12-24,13.0
2023-12-31,14.0
2024-01-07,13.126980135780741
2024-01-14,12.274578828262511
2024-01-21,12.274578828262511
2024-01-28,12.104098566758864
2024-02-04,14.661302489313554
2024-02-11,13.808901181795324
2024-02-18,10.740256474729696
2024-02-25,11.592657782247926
2024-03-03,11.251697259240634
2024-03-10,11.422177520744281
2024-03-17,11.422177520744281
2024-03-24,11.763138043751573
2024-03-31,10.22881569021876
2024-04-07,9.205934121196883
2024-04-14,10.910736736233343
2024-04-21,11.251697259240634
2024-04-28,12.78601961277345
2024-05-05,12.274578828262511
2024-05-12,11.93361830525522
2024-05-19,11.251697259240634
2024-05-26,12.615539351269803
2024-06-02,13.297460397284386
2024-06-09,12.445059089766156
2024-06-16,9.546894644204174
2024-06-23,11.08121699773699
2024-06-30,11.592657782247926
2024-07-07,11.763138043751573
2024-07-14,12.445059089766156
2024-07-21,13.126980135780741
2024-07-28,12.445059089766156
2024-08-04,14.490822227809907
2024-08-11,13.297460397284386
2024-08-18,12.104098566758864
2024-08-25,12.274578828262511
2024-09-01,11.763138043751573
2024-09-08,11.251697259240634
2024-09-15,11.592657782247926
2024-09-22,13.808901181795324
2024-09-29,12.615539351269803
2024-10-06,10.910736736233343
2024-10-13,11.08121699773699
2024-10-20,12.104098566758864
2024-10-27,10.22881569021876
2024-11-03,9.887855167211466
2024-11-10,11.763138043751573
2024-11-17,11.763138043751573
2024-11-24,13.126980135780741
2024-12-01,11.93361830525522
2024-12-08,10.740256474729696
2024-12-15,11.251697259240634
2024-12-22,10.740256474729696
2024-12-29,13.467940658788033
2025-01-05,13.297460397284386
2025-01-12,10.910736736233343
2025-01-19,10.058335428715113
2025-01-26,9.717374905707821
2025-02-02,9.717374905707821
2025-02-09,10.910736736233343
2025-02-16,11.422177520744281
2025-02-23,9.887855167211466
2025-03-02,10.22881569021876
2025-03-09,9.37641438270053
2025-03-16,10.569776213226051
2025-03-23,9.717374905707821
2025-03-30,9.205934121196883
2025-04-06,9.205934121196883
2025-04-13,7.671611767664069
2025-04-20,10.569776213226051
2025-04-27,12.615539351269803
2025-05-04,12.104098566758864
2025-05-11,11.763138043751573
2025-05-18,10.058335428715113
2025-05-25,9.37641438270053
2025-06-01,9.717374905707821
2025-06-08,10.22881569021876
2025-06-15,11.93361830525522
2025-06-22,12.274578828262511
2025-06-29,9.546894644204174
2025-07-06,10.058335428715113
2025-07-13,10.740256474729696
2025-07-20,12.445059089766156
2025-07-27,13.126980135780741
2025-08-03,10.399295951722404
2025-08-10,9.205934121196883
2025-08-17,8.864973598189591
2025-08-24,9.035453859693236
2025-08-31,9.205934121196883
2025-09-07,9.035453859693236
2025-09-14,8.694493336685944
2025-09-21,9.035453859693236
2025-09-28,8.864973598189591
2025-10-05,8.694493336685944
2025-10-12,9.887855167211466
2025-10-19,9.205934121196883
2025-10-26,10.399295951722404
2025-11-02,10.22881569021876
2025-11-09,10.569776213226051
2025-11-16,10.058335428715113
2025-11-23,9.546894644204174
2025-11-30,8.694493336685944
2025-12-07,9.035453859693236
2025-12-14,8.694493336685944
2025-12-21,8.353532813678653
2025-12-28,8.694493336685944
